Hindi	hi-Latn	Urdu	ur-Latn	English gloss
अंग	ang	عاضو	aazoo	organs
अद्भुत	adbhut	حیرت انگیز	hairat angaiz	amazing
अद्वितीय	advitiya	منفرد	munfarid	unique
अधिक	adhik	مزید	mazeed	more
अनिवार्य	anivarya	لازِمی	laazmi	compulsory
अनेक	anek	کئی	kayi	several
अभिनन्दन	abhinandan	سلام	salam	greetings
अभियान	abhiyan	مہم	muhim	campaign
अर्थ	arth	تَفْسِیر	tafsir	meaning
अर्थव्यवस्था	arthavyavastha	معیشت	maeeshat	economy
अवकाश	avkash	فارغ	faarigh	leisure
आंदोलन	andolan	تحریک	tehreek	agitation
आकर्षक	akarshak	دلکش	dilkash	charming
आभार	abhar	شکرگزاری	shukar guzari	gratitude
आयोजन	ayojan	منصوبہ بندی	mansoobah bandi	planning
आशीर्वाद	ashirwad	برکتیں	barkaten	blessings
आश्चर्य	ashcharya	حیرت	heart	wonder
उत्सव	utsav	جشن	jashnn	celebration
उत्सवों	utsavon	تہوار	tehwar	festivals
उदाहरण	udaharan	مثال	misaal	example
उपलब्ध	uplabdh	دستیاب	dastyab	available
ऊर्जा	urja	توانائی	tawanai	energy
एकता	ekta	اتحاد	ittehaad	unity
कठिन	kathin	مشکل	mushkil	tough
कल्पना	kalpana	تخیل	takhayyul	imagination
कार्यक्रम	karyakram	برنامه	barnameh	program
कार्यावकाश	karyavakash	فارغ	faarigh	leisure
केवल	kewal	محض	mehez	only
क्लेश	klesh	اِذا	iza	pain
क्लेश	klesh	زَحْمَت	zehmat	pain
क्षेत्र	kshetra	علاقہ	ilaqa	region
गतिविधियां	gatividhiyan	اَرْکان	arkaan	activities
गर्व	garv	فخر	fakhr	proud
गुरुवार	guruvar	جمعرات	jumarat	thursday
चौपट	chaupat	ضایَع	zaayaa	waste
छाती	chhati	سینا	seena	chest
छुट्टी	chhutti	فارغ	faarigh	leisure
जनता	janta	عوام	awam	public
जागरूक	jagruk	چوکس	chokas	vigilant
जागरूकता	jagrukta	آگاہی	aagahi	awareness
जिज्ञासा	jigyasa	تجسس	tajassus	curiosity
जिज्ञासु	jigyaasu	متجسس	mutajassas	curious
डाह	dah	حصاد	hassad	jealousy
डेवढ़ी	devadhi	دَہلِیز	dehleez	threshold
तहस नहस	tahas nahas	ضایَع	zaayaa	waste
तहस-नहस	tahas-nahas	ضایَع	zaayaa	waste
दाता	data	سخاوت	sakhawat	giver
दारू	daru	الکوحل	alcohol	alcohol
दिवस	divas	دن	din	day
दिव्यांग	divyang	معذور	mazoor	handicapped
दृष्टि	drishti	اولین مقصد	awleen maqsad	vision
देशवासी	deshwasi	ہم وطنوں	hum vatnon	countrymen
दोपहर का भोजन	dopahar ka bhojan	ظہرانہ	zohrana	lunch
द्वारा	dwara	کی طرف سے	ki taraf se	by
धन्यवाद	dhanyavad	شکریہ	shukriya	thank you
धन्यवाद	dhanyavad	شکریہ	shukriya	thank you
ध्वस्त	dhvast	ضایَع	zaayaa	waste
नमस्कार	namaskar	سَلام	salaam	hello
नमस्ते	namaste	سلام	salam	hello
नष्ट	nasht	ضایَع	zaayaa	waste
नागरिक	nagarik	شہری	shehri	citizen
निमंत्रण	nimantran	دعوت نامہ	dawat nama	invitation
नेतृत्व	netrutva	قیادت	qayadat	leadership
नौकर	naukar	خادِم	khaadim	keeper
परंपरा	parampara	میراث	meeras	legacy
परिवर्तन	parivartan	تبدیلی	tabdeeli	change
परिश्रम	parishram	محنت	mehanat	hard work
पर्यावरण	paryavaran	ماحول	mahol	environment
पर्व	parva	تہوار	tehwar	festival
पवित्र	pavitra	مقدس	muqaddas	holy
पिता	pita	اَبّا	abba	father
पीढ़ी	pidhi	نسل	nasal	generation
पुरस्कार	puraskar	انعام	inaam	prize
पुरुष	purush	جناب	janaab	gentleman
पूर्ण	purna	مکمل	mukammal	complete
प्रकार	prakar	قسم	qisam	type
प्रकृति	prakriti	فطرت	fitrat	nature
प्रक्रिया	prakriya	عمل	amal	process
प्रणाम	pranam	سلام	salam	greetings
प्रतीक	pratik	دستخط	dastakhat	sign
प्रदर्शन	pradarshan	کارکردگی	karkardagi	performance
प्रधानमंत्री	pradhanmantri	وزیر اعظم	wazeer e azam	prime minister
प्रसाद	prasad	پیشکش	peshkash	offering
प्रस्तुत	prastut	پیش کیا۔	paish kya	presented
प्राकृतिक	prakritik	قدرتی	qudrati	natural
प्रारंभ	prarambh	شرُوعات	shuruat	start
प्रार्थना	prarthana	عبادات	ibadat	prayers
प्रेरणा	prerana	الہام	ilham	inspiration
प्रेरित	prerit	حوصلہ افزائی	hosla afzai	inspired
बेदना	bedna	اِذا	iza	pain
बेदना	bedna	زَحْمَت	zehmat	pain
भगवान	bhagwan	خدا	kkhuda	god
भाग लेना	bhag lena	شرکت	shirkat	to participate
भाव	bhav	شرح	sharah	rate
भाषा	bhasha	زبان	zabaan	language
भीतर	bhitar	اندر	andar	inside
भूमिका	bhumika	کردار	kirdaar	role
मंत्रालय	mantralay	وزارت	wizarat	ministry
मदिरा	madira	الکوحل	alcohol	alcohol
मद्य	madya	الکوحل	alcohol	alcohol
मधु	madhu	الکوحل	alcohol	alcohol
मन	man	دماغ	dimagh	mind
मनुष्य	manushya	محتَرَم	mohtaram	man
महत्वपूर्ण	mahatvapurna	اہم	ahem	important
महान	mahan	زبردست	zabardast	great
महिला	mahila	عورت	aurat	woman
महिला	mahila	محترمہ	mohtarma	lady
माँ	maan	امّی	ammi	mother
माता-पिता	mata-pita	والدین	walidain	parents
माता-पिता	mata-pita	والدین	waldain	parents
माध्यम	madhyam	چینل	chainal	channel
मानस	manas	محتَرَم	mohtaram	man
मृत्यु	mrutyu	موت	mout	death
युवा	yuva	جوانی	jawani	youth
योगदान	yogdan	شراکت	shiraakat	contribution
रक्षा	raksha	دفاع	difaa	defense
रात का खाना	rat ka khana	عشائیہ	ishayia	dinner
राष्ट्रपति	rashtrapati	صدر	saddar	president
राष्ट्रीय	rashtriya	قومی	qaumi	national
लक्ष्य	lakshya	ہدف	hadaf	target
लाभ	labh	فَضائِل	fazail	benefits
लोग	log	افراد	afraad	people
विकास	vikas	ترقی	taraqqi	development
विज्ञान	vigyan	سائنس	science	science
विध्वस्त	vidhvast	ضایَع	zaayaa	waste
विराम काल	viram kal	فارغ	faarigh	leisure
विशेष	vishesh	مخصوص	makhsoos	specific
विश्व	vishwa	دنیا	duniya	world
वेदना	vedna	اِذا	iza	pain
वेदना	vedna	زَحْمَت	zehmat	pain
व्यक्ति	vyakti	شخص	shakhs	person
व्यक्ति	vyakti	محتَرَم	mohtaram	man
व्यस्त	vyast	مصروف	masroof	busy
व्यापार	vyapar	تِجارَت	tijarat	business
शक्ति	shakti	طاقت	taaqat	power
शनिवार	shanivar	ہفتہ	hafta	saturday
शासन	shasan	حکومت	hukoomat	government
शिक्षक	shikshak	استاد	ustaad	teacher
शिक्षा	shiksha	تعلیم	taleem	education
शुक्रवार	shukravar	جمعہ	jumma	friday
शुभकामनाएं	shubhkamanaen	مبارک باد	mubaarakbad	best wishes
शून्य	shunya	صفر	sifar	zero
शौचालय	shauchalay	بیت الخلاء	beeet al khala	toilet
श्रद्धांजलि	shraddhanjali	خراج تحسین	kharaaj tehseen	tribute
संकल्प	sankalp	قرارداد	qarardad	resolution
संघर्ष	sangharsh	تنازعہ	tanaza	conflict
संतोष	santosh	اطمینان	itminan	satisfaction
सक्रिय	sakriya	فعال	fa-aal	active
सज्जन	sajjan	جناب	janaab	gentleman
सन्देश	sandesh	پیغام	pegham	message
समाज	samaj	برادری	baradri	community
समाधान	samadhan	حل	hal	solution
सम्मान	samman	احترام	ehtiram	respect
सलाह	salah	ہدایت	hidayat	guidance
सामर्थ्य	samarthya	استطاعت	istetat	affordability
सामाजिक	samajik	سماجی	samaji	social
सामूहिक	samuhik	اجتماعی	ijtimai	the collective
सार्वजनिक	sarvajanik	عوام	awam	public
सुनिश्चित	sunishchit	یقینی	yaqeeni	assured
सुरा	sura	الکوحل	alcohol	alcohol
सुविधा	suvidha	سہولت	sahoolat	facility
सेवक	sevak	خادِم	khaadim	keeper
सेवा	seva	دست گیری	dastgirii	service
सोमवार	somvar	پير	peer	monday
स्थान	sthan	جگہ	jagah	place
स्मरण	smaran	یاد	yaad	remembrance
स्मारक	smarak	یادگار	yadgar	memorial
स्वच्छ	swachh	صاف	saaf	neat
स्वच्छता	swachhata	حفظان صحت	hifzaan sehat	hygiene
स्वतंत्रता	swatantrata	آزادی	azadi	freedom
स्वास्थ्य	svasthya	صحت	sehat	health
