reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.01,17.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.025,21.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.05,25.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.1,29.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.15,32.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.2,34.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.25,36.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.3,38.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.35,40.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.4,42.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.45,44.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.5,46.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.55,47.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.6,49.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.65,51.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.7,53.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.75,56.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.8,58.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.85,62.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.9,67.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.95,73.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.975,80.0
2026-05-16,wk inc covid hosp,0,2026-05-16,01,quantile,0.99,87.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.01,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.025,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.05,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.1,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.15,1.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.2,1.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.25,2.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.3,2.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.35,2.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.4,3.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.45,3.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.5,3.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.55,3.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.6,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.65,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.7,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.75,5.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.8,6.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.85,6.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.9,7.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.95,8.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.975,9.0
2026-05-16,wk inc covid hosp,0,2026-05-16,02,quantile,0.99,11.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.01,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.025,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.05,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.1,8.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.15,11.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.2,14.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.25,16.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.3,18.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.35,20.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.4,22.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.45,24.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.5,26.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.55,28.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.6,30.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.65,32.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.7,34.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.75,37.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.8,40.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.85,43.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.9,49.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.95,55.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.975,63.0
2026-05-16,wk inc covid hosp,0,2026-05-16,04,quantile,0.99,71.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.01,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.025,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.05,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.1,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.15,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.2,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.25,0.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.3,1.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.35,1.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.4,2.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.45,3.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.5,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.55,4.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.6,5.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.65,6.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.7,7.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.75,8.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.8,9.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.85,10.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.9,12.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.95,15.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.975,17.0
2026-05-16,wk inc covid hosp,0,2026-05-16,05,quantile,0.99,20.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.01,54.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.025,71.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.05,82.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.1,100.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.15,110.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.2,120.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.25,129.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.3,137.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.35,143.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.4,150.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.45,155.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.5,162.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.55,168.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.6,176.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.65,182.0
2026-05-16,wk inc covid hosp,0,2026-05-16,06,quantile,0.7,189.0
