reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.01,50.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.025,54.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.05,59.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.1,63.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.15,66.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.2,72.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.25,82.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.3,84.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.35,86.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.4,87.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.45,88.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.5,90.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.55,92.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.6,95.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.65,97.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.7,101.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.75,103.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.8,107.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.85,111.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.9,117.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.95,128.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.975,138.0
2026-09-19,wk inc covid hosp,0,2026-09-19,01,quantile,0.99,148.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.01,2.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.025,2.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.05,3.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.1,3.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.15,3.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.2,4.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.25,4.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.3,5.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.35,5.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.4,6.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.45,6.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.5,7.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.55,8.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.6,8.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.65,8.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.7,9.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.75,10.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.8,11.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.85,13.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.9,15.0
2026-09-19,wk inc covid hosp,0,2026-09-19,02,quantile,0.95,19.0
