reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.01,11.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.025,15.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.05,18.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.1,21.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.15,22.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.2,25.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.25,27.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.3,30.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.35,30.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.4,30.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.45,30.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.5,30.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.55,30.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.6,31.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.65,31.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.7,33.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.75,34.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.8,37.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.85,37.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.9,38.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.95,40.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.975,50.0
2026-06-06,wk inc covid hosp,0,2026-06-06,01,quantile,0.99,80.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.01,0.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.025,0.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.05,0.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.1,0.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.15,0.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.2,0.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.25,1.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.3,1.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.35,1.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.4,1.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.45,1.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.5,1.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.55,1.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.6,1.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.65,2.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.7,2.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.75,2.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.8,2.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.85,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.9,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.95,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.975,8.0
2026-06-06,wk inc covid hosp,0,2026-06-06,02,quantile,0.99,13.0
2026-06-06,wk inc covid hosp,0,2026-06-06,04,quantile,0.01,12.0
2026-06-06,wk inc covid hosp,0,2026-06-06,04,quantile,0.025,15.0
2026-06-06,wk inc covid hosp,0,2026-06-06,04,quantile,0.05,17.0
2026-06-06,wk inc covid hosp,0,2026-06-06,04,quantile,0.1,23.0
2026-06-06,wk inc covid hosp,0,2026-06-06,04,quantile,0.15,25.0
2026-06-06,wk inc covid hosp,0,2026-06-06,04,quantile,0.2,25.0
2026-06-06,wk inc covid hosp,0,2026-06-06,04,quantile,0.25,25.0
2026-06-06,wk inc covid hosp,0,2026-06-06,04,quantile,0.3,26.0
