reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.01,148.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.025,156.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.05,170.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.1,175.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.15,185.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.2,191.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.25,200.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.3,210.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.35,214.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.4,224.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.45,227.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.5,246.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.55,249.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.6,256.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.65,276.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.7,296.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.75,315.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.8,328.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.85,379.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.9,398.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.95,501.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.975,533.0
2026-01-17,wk inc flu hosp,0,2026-01-17,01,quantile,0.99,703.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.01,18.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.025,19.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.05,19.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.1,20.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.15,21.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.2,24.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.25,26.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.3,27.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.35,29.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.4,30.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.45,32.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.5,33.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.55,33.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.6,36.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.65,38.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.7,39.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.75,43.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.8,46.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.85,56.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.9,62.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.95,68.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.975,76.0
2026-01-17,wk inc flu hosp,0,2026-01-17,02,quantile,0.99,87.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.01,40.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.025,72.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.05,101.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.1,123.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.15,127.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.2,135.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.25,147.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.3,157.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.35,163.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.4,177.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.45,179.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.5,182.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.55,184.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.6,202.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.65,212.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.7,231.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.75,247.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.8,282.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.85,332.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.9,348.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.95,386.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.975,519.0
2026-01-17,wk inc flu hosp,0,2026-01-17,04,quantile,0.99,966.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.01,83.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.025,83.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.05,85.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.1,89.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.15,93.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.2,102.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.25,108.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.3,109.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.35,115.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.4,119.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.45,122.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.5,123.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.55,135.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.6,145.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.65,153.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.7,167.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.75,182.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.8,191.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.85,206.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.9,228.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.95,256.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.975,266.0
2026-01-17,wk inc flu hosp,0,2026-01-17,05,quantile,0.99,286.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.01,734.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.025,778.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.05,790.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.1,844.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.15,894.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.2,902.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.25,948.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.3,980.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.35,1044.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.4,1075.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.45,1102.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.5,1122.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.55,1196.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.6,1233.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.65,1359.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.7,1470.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.75,1538.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.8,1715.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.85,1888.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.9,2053.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.95,2224.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.975,2272.0
2026-01-17,wk inc flu hosp,0,2026-01-17,06,quantile,0.99,2348.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.01,155.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.025,178.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.05,193.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.1,204.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.15,219.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.2,239.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.25,249.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.3,262.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.35,273.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.4,303.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.45,321.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.5,344.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.55,353.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.6,362.0
2026-01-17,wk inc flu hosp,0,2026-01-17,08,quantile,0.65,388.0
