reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.01,38.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.025,46.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.05,53.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.1,63.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.15,70.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.2,76.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.25,81.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.3,86.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.35,91.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.4,96.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.45,101.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.5,105.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.55,111.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.6,118.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.65,125.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.7,134.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.75,145.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.8,154.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.85,165.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.9,183.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.95,207.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.975,235.0
2026-03-14,wk inc flu hosp,0,2026-03-14,01,quantile,0.99,265.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.01,0.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.025,0.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.05,1.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.1,1.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.15,2.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.2,2.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.25,3.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.3,3.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.35,4.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.4,4.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.45,5.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.5,6.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.55,6.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.6,7.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.65,8.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.7,10.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.75,12.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.8,14.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.85,17.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.9,22.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.95,33.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.975,42.0
2026-03-14,wk inc flu hosp,0,2026-03-14,02,quantile,0.99,56.0
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.01,67.0
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.025,79.0
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.05,90.0
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.1,105.0
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.15,116.0
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.2,125.0
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.25,136.0
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.3,145.0
2026-03-14,wk inc flu hosp,0,2026-03-14,04,quantile,0.35,157.0
