reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.01,119.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.025,178.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.05,242.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.1,286.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.15,304.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.2,323.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.25,336.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.3,337.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.35,350.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.4,366.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.45,378.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.5,388.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.55,396.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.6,423.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.65,436.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.7,469.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.75,502.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.8,535.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.85,578.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.9,624.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.95,721.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.975,819.0
2026-01-10,wk inc flu hosp,0,2026-01-10,01,quantile,0.99,912.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.01,13.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.025,23.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.05,30.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.1,37.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.15,39.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.2,42.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.25,43.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.3,47.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.35,51.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.4,53.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.45,55.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.5,59.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.55,61.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.6,64.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.65,68.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.7,71.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.75,75.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.8,78.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.85,84.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.9,92.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.95,102.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.975,115.0
2026-01-10,wk inc flu hosp,0,2026-01-10,02,quantile,0.99,133.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.01,86.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.025,138.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.05,180.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.1,221.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.15,268.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.2,280.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.25,285.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.3,305.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.35,317.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.4,326.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.45,338.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.5,349.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.55,368.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.6,386.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.65,400.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.7,430.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.75,451.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.8,470.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.85,514.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.9,602.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.95,823.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.975,911.0
2026-01-10,wk inc flu hosp,0,2026-01-10,04,quantile,0.99,1031.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.01,71.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.025,117.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.05,139.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.1,165.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.15,183.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.2,187.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.25,195.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.3,204.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.35,214.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.4,223.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.45,229.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.5,244.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.55,252.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.6,260.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.65,276.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.7,293.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.75,306.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.8,330.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.85,357.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.9,392.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.95,476.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.975,531.0
2026-01-10,wk inc flu hosp,0,2026-01-10,05,quantile,0.99,593.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.01,343.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.025,508.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.05,819.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.1,1047.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.15,1163.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.2,1270.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.25,1290.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.3,1309.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.35,1351.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.4,1388.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.45,1450.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.5,1539.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.55,1552.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.6,1621.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.65,1702.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.7,1775.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.75,1876.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.8,2053.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.85,2208.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.9,2434.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.95,2741.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.975,3122.0
2026-01-10,wk inc flu hosp,0,2026-01-10,06,quantile,0.99,3583.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.01,222.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.025,287.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.05,387.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.1,449.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.15,536.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.2,577.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.25,613.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.3,630.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.35,656.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.4,693.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.45,693.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.5,730.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.55,753.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.6,776.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.65,808.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.7,858.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.75,895.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.8,951.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.85,1018.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.9,1096.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.95,1199.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.975,1335.0
2026-01-10,wk inc flu hosp,0,2026-01-10,08,quantile,0.99,1479.0
