reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.01,2.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.025,38.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.05,80.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.1,83.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.15,88.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.2,92.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.25,93.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.3,93.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.35,96.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.4,101.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.45,101.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.5,103.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.55,109.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.6,116.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.65,119.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.7,121.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.75,122.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.8,123.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.85,123.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.9,124.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.95,130.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.975,134.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,01,quantile,0.99,155.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.01,0.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.025,1.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.05,2.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.1,2.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.15,4.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.2,4.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.25,4.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.3,5.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.35,5.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.4,6.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.45,6.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.5,6.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.55,7.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.6,8.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.65,8.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.7,9.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.75,9.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.8,12.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.85,12.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.9,13.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.95,16.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.975,18.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,02,quantile,0.99,31.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.01,2.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.025,20.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.05,29.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.1,35.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.15,37.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.2,38.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.25,39.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.3,39.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.35,42.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.4,42.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.45,43.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.5,44.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.55,45.0
