The economy of the municipality is mainly based on textile and food industries.	A economia do município tem base principalmente nos setores têxtil e alimentício.
Universities in Brazil are a recent phenomenon, compared to other Latin American countries.	Em comparação com outros países da América Latina, as universidades são um fenômeno recente no Brasil.
The first one was created in 1808 (Rio de Janeiro Medicine Faculty).	Em 1808, a primeira foi criada (Faculdade de Medicina do Rio de Janeiro).
Before the 20th century, there were no universities in the country.	Antes do século 20, o país não tinha qualquer universidade.
Existing institutions in higher education were either public or church-run independent institutes.	As instituições existentes de ensino superior eram públicas ou institutos independentes administrados pela igreja.
Rio de Janeiro Federal University was the first one, containing every faculty inside Rio de Janeiro city in 1926.	A Universidade Federal do Rio de Janeiro foi a primeira, contendo todas as faculdades dentro da cidade do Rio de Janeiro em 1926.
São Paulo’s first university was USP, founded in 1933.	A primeira universidade de São Paulo, a USP, foi fundada em 1933.
By the 1950s, countryside people had to move toward capitals for undergraduate study.	Até 1950, o povo do campo precisava se mudar para as capitais para fazer graduações.
There were few higher education institutes outside Brazilian metropolises then.	Na época, havia poucos institutos de ensino superior fora das metrópoles brasileiras
São Paulo state government created many colleges outside the capital in the 1950s and 1960s.	O governo do estado de São Paulo criou muitas faculdades fora da capital nos anos 1950 e 1960.
Prominent cities in the state received these isolated institutes, known as “Faculdade de Filosofia”.	As cidades importantes do estado receberam esses institutos isolados, conhecidos como “Faculdade de Filosofia”.
In the 1970s, discussions were made within state government on how to coordinate the separate institutes.	Nos anos 1970, ocorreram debates com o governo do estado sobre como coordenar os  institutos separados.
One Suggestions was to join the 14 institutes in a federation or a single university, which was enacted on subsequently.	Uma sugestão foi unir os 14 institutos em uma federação ou em uma única universidade, o que foi executado na sequência.
Inspired by the University of California multi-campus system, UNESP was founded in 1976.	Inspirada pela sistema com vários campi da Universidade da Califórnia, a UNESP foi fundada em 1976.
The original campuses were in Araçatuba, Araraquara, Assis, Botucatu, Franca, Guaratinguetá, Ilha Solteira, Jaboticabal, Marília, Presidente Prudente, Rio Claro, São José dos Campos, São José do Rio Preto and São Paulo.	Os campi originais ficavam em Araçatuba, Araraquara, Assis, Botucatu, Franca, Guaratinguetá, Ilha Solteira, Jaboticabal, Marília, Presidente Prudente, Rio Claro, São José dos Campos, São José do Rio Preto e São Paulo.
Bauru campus was incorporated in 1988.	Os campi de Bauru foram incorporados em 1988.
