The economy of the municipality is mainly based on textile and food industries.	A economia do município baseia-se essencialmente na indústria têxtil e alimentar.
Universities in Brazil are a recent phenomenon, compared to other Latin American countries.	As universidades no Brasil são um fenómeno recente, em comparação com outros países da América Latina.
The first one was created in 1808 (Rio de Janeiro Medicine Faculty).	A primeira foi criada em 1808 (Faculdade de Medicina do Rio de Janeiro).
Before the 20th century, there were no universities in the country.	Antes do século XX, não havia universidades no país.
Existing institutions in higher education were either public or church-run independent institutes.	As instituições de ensino superior eram públicas ou institutos independentes administrados pela igreja.
Rio de Janeiro Federal University was the first one, containing every faculty inside Rio de Janeiro city in 1926.	A Universidade Federal do Rio de Janeiro foi a primeira, incluindo todas as faculdades na cidade do Rio de Janeiro em 1926.
São Paulo’s first university was USP, founded in 1933.	A primeira universidade de São Paulo foi a USP (Universidade de São Paulo), fundada em 1933.
By the 1950s, countryside people had to move toward capitals for undergraduate study.	Na década de 1950, as pessoas do campo tinham de ir para as capitais para tirar cursos universitários.
There were few higher education institutes outside Brazilian metropolises then.	Na altura, havia menos institutos superiores fora das metrópoles brasileiras.
São Paulo state government created many colleges outside the capital in the 1950s and 1960s.	Nas décadas de 1950 e 1960, o Governo do Estado de São Paulo criou várias universidades fora da capital.
Prominent cities in the state received these isolated institutes, known as “Faculdade de Filosofia”.	As principais cidades no Estado recebiam estes institutos isolados, conhecidos por “Faculdade de Filosofia”.
In the 1970s, discussions were made within state government on how to coordinate the separate institutes.	Na década de 1970, houve discussões no governo estadual sobre o modo de coordenar os vários institutos.
One Suggestions was to join the 14 institutes in a federation or a single university, which was enacted on subsequently.	Uma sugestão foi reunir os 14 institutos numa federação ou numa única universidade a qual foi posteriormente promulgada.
Inspired by the University of California multi-campus system, UNESP was founded in 1976.	Inspirada no sistema de várias faculdades da Universidade da Califórnia, a UNESP (Universidade Estadual Paulista) foi fundada em 1976.
The original campuses were in Araçatuba, Araraquara, Assis, Botucatu, Franca, Guaratinguetá, Ilha Solteira, Jaboticabal, Marília, Presidente Prudente, Rio Claro, São José dos Campos, São José do Rio Preto and São Paulo.	As faculdades originais foram criadas em Araçatuba, Araraquara, Assis, Botucatu, Franca, Guaratinguetá, Ilha Solteira, Jaboticabal, Marília, Presidente Prudente, Rio Claro, São José dos Campos, São José do Rio Preto e São Paulo.
Bauru campus was incorporated in 1988.	A faculdade de Bauru foi integrada em 1988.
The name "Universidade Estadual Paulista" was suggested by the first rector of UNESP, Professor Luiz Ferreira Martins, and the name "Júlio de Mesquita Filho" was suggested by Prof. Dr.	O nome "Universidade Estadual Paulista" foi sugerido pelo primeiro reitor da UNESP, o Professor Luiz Ferreira Martins, e o nome "Júlio de Mesquita Filho" foi sugerido pelo Prof. Dr.
Moacyr Expedito Marret Vaz Guimarães, then President of the State Council of Education (EEC).	Moacyr Expedito Marret Vaz Guimarães, então Presidente do Conselho Estadual da Educação (CEE).
UNESP has a total of 1,900 laboratories and 30 libraries, which together have around 900,000 books available.	A UNESP tem um total de 1900 laboratórios e 30 bibliotecas, que, ao todo, têm um acervo de 900 000 livros disponíveis.
In addition the facilities encompass museums, gardens, parks, botanical gardens and five experimental farms, totaling an area of 62.8 million m², of which 745.4 thousand m² are developed area.	Além disso, as instalações incluem museus, jardins, parques, jardins botânicos e cinco quintas experimentais, totalizando uma área total de 62,8 milhões de m², dos quais 745,4 mil m² são áreas desenvolvidas.
The university also owns the Hospital de Clínicas de Botucatu and manages the State Hospital of Bauru, which together have around 800 beds, as well as veterinary hospitals and dentistry, psychology, speech therapy and physiotherapy clinics.	A universidade é também proprietária do Hospital de Clínicas de Botucatu e gere o Hospital Estadual de Bauru, que, em conjunto, têm cerca de 800 camas, bem como hospitais veterinários e clínicas dentárias, de psicologia, terapia da fala e fisioterapia.
UNESP is governed by a rector, appointed by the state governor who chooses the final candidate from a list of three nominees.	A UNESP é dirigida por um reitor, nomeado pelo governador do estado, que escolhe o candidato final a partir de uma lista de três nomeados.
The nominees are selected through elections, taking place among university’s academics held every four years.	Os nomeados são escolhidos através de eleições, que ocorrem nos departamentos académicos da universidade em cada quatro anos.
Usually, the governor selects the winner of those elections.	Normalmente, o governador escolhe o vencedor dessas eleições.
The rector presides over the University Council, composed of directors of every institute in the system and academic representatives.	O reitor preside ao Conselho Universitário, composto pelos diretores de todos os institutos do sistema e pelos representantes académicos.
There are ten students representatives.	Há dez representantes dos estudantes.
The council makes most decisions that affect the university.	O conselho toma a maioria das decisões que afetam a universidade.
Each institute (there are campuses with more than one) has one director and a council who rules with a degree of autonomy.	Cada instituto (há faculdades com mais de um) tem um diretor e um conselho que governa com um certo grau de autonomia.
UNESP employs about 3,500 teachers, in addition to another 10,600 employees in various positions.	A UNESP emprega cerca de 3500 professores, além de 10 600 funcionários com vários cargos.
The university provides 171 options for undergraduate courses in 62 higher education professions, with a total of over 45,000 students, of which 5,600 new professionals are trained annually by UNESP.	A universidade fornece 171 cursos universitários para 62 profissões de nível superior e tem um total de 45 000 estudantes, dos quais 5600 novos profissionais são formados todos os anos pela UNESP.
About 10,000 students study in 118 postgraduate programs, with 117 academic masters, 6 professional masters and 93 academic doctorates.	Cerca de 10 000 alunos estudam em 118 cursos de pós-graduação, 117 mestrados académicos, 6 mestrados profissionais e 93 doutoramentos.
The academic year at UNESP follows a two-semester schedule, with slight differences depending on the courses and programs chosen.	O ano académico na UNESP segue um programa de dois semestres, com ligeiras diferenças, dependendo dos cursos e dos programas escolhidos.
The spring semester runs from August - December and the fall semester from February - June.	O semestre da primavera funciona entre agosto e dezembro e o semestre de outono entre fevereiro e junho.
In the recent decade Brazil has generally become more widely recognized as a good academic environment (developing alongside the rest of the countries economy).	Na última década, o Brasil tem sido, de um modo geral, amplamente reconhecido como um bom ambiente académico (desenvolvendo-se ao ritmo da economia dos outros países).
But with the economic crisis some universities in Brazil have struggled in the last years; the number of publications authored and co-authored from UNESP however, has continually risen since 2012.	Porém, nos últimos anos, algumas universidades do Brasil têm tido dificuldades devido à crise económica. No entanto, publicações de autores e coautores da UNESP tem vindo a aumentar continuamente desde 2012.
