Yang was born 10 November 1958 in the Wen Qiang village, Cibihu town of Dali, Yunnan province.	1958 年 11 月 10 日，杨出生在云南省大理白族自治州茈碧湖镇文强村。
She the eldest of four children.	她在四个孩子中排行老大。
Her parents and grandparents, members of the Bai ethnic minority, were farmers in a nearby village.	她的双亲和祖父母都是少数民㫍白族，在邻村务农。
Her grandmother was a singer in the village.	她的祖母是村中的歌手。
Yang began her formal dance training at the late age of 11, at a dance troupe in the Xishuangbanna area of Yunnan, after her family moved to the area.	杨的正式舞蹈训练开始得很晚，11 岁举家搬到云南西双版纳后，才加入当地的一个舞团。
In the Southern flatlands of Yunnan, Xishuangbanna borders the country of Burma and is dominated by the Dai ethnic group, whose Peacock dance she would become synonymous with.	西双版纳位在云南南方的平坦地区，邻近缅甸，以傣族人口居多；其孔雀舞后来也变成她的招牌。
In her early 20's, after she moved to Beijing to dance with the Central Nationalities Song and Dance Ensemble, she made the peacock dance her own, recasting parts of it with deft arm and finger movements.	她在二十岁出头时到北京加入中央民族歌舞团，独自发展出自己的孔雀舞，以其灵巧的手臂与手指动作重现其精华。
In 1986, that choreography and dance won her first prize in a national competition.	1986 年她在一场全国赛上获得编舞与舞蹈首奖。
She rose to national level fame in 1986 when she won first prize in a national dance competition for her original solo "Spirt of the Peacock" (雀之灵).	1986 年，她在全国舞蹈大赛上，以自创的独舞「雀之灵」获得首奖，举国闻名。
Ever since, she has been dubbed the "Peacock Princess".	之后大家就称她「孔雀公主」。
She was the director, choreographer and star of "Dynamic Yunnan", a show that drew sellout crowds all over China.	她是中国卖座电影「云南映象」的导演、编舞家兼演员。
She toured Europe and the United States in 2005.	2005 年，她在欧洲和美国巡回演出。
Between 2004 and 2008, Yang Liping directed and choreographed a trilogy: "Dynamic Yunnan", "Echoes of Shangri-la" and "Tibetan Myth".	2004 到 2008 年间，杨丽萍担任「云南映象」、「云南的声响」、「藏谜」三部曲的执导与编舞工作。
In 2004, "Dynamic Yunnan" won five major awards at the National Lotus Awards, including Gold Award for Dance Spectacular, Best Choreography and Best Female Performer.	2004 年，「云南映象」夺得中国舞蹈荷花奖的五项金质奖，包括最佳舞台效果、最佳编舞与最佳女性舞者。
To create the exotic song and dance spectacular "Dynamic Yunnan", Yang spent years traveling to remote villages of the 26 ethnic minority tribes in Yunnan and selected over 60 peasants who had the natural gift of song and dance, from whom she built an archive re-creating this rich feast of sight and sound.	为了创作出「云南映象」中异族风的歌曲与舞蹈，杨花了多年走遍云南 26 个少数民族的偏乡，集合超过 60 名具有歌舞天份的村人，采集并重新呈现出丰富的视听飨宴。
In May 2009, she revealed a dance and music production 'Yunnan Sound', at the Yunnan Art Institute's Experimental Theater.	2009 年 5 月，她于云南艺术学院的实验剧院中推出音乐舞蹈作品「云南的响声」。
On November 17, 2009, US President Barack Obama is visit to China, she performed the classic dance "The Spirit of the Birds" at the Great Hall of the People.	2009 年 11 月 17 日，美国总统欧巴马访问中国，她在人民大会堂表演经典舞蹈「雀之灵」。
She is currently a judge on So You Think You Can Dance China.	她目前在「中国好舞蹈」节目担任评审。
Yang's first husband was a colleague of the Central National Song and Dance Troupe and later divorced.	杨的第一任丈夫是她在中央民族歌舞团的同事，但后来离婚。
The current husband, Liu Yuqing, is a Taiwanese-American.	现任丈夫刘淳晴是台裔美国人。
They couple met in 1990 and married in 1995, but Yang wants to dance long-term dieting and cannot be pregnant.	两人于 1990 年相识，1995 年结婚，但杨因为长期舞蹈而不孕。
After getting her bachelor's degree in Architecture at the National Central University in Chongqing, China, Wang Chiu-Hwa moved to Seattle to continue her studies at the University of Washington in 1946.	在重庆的国立中央大学取得建筑学士学位后，王秋华于 1946 年迁至西雅图，在华盛顿大学继续学业。
She then studied a Masters of Architecture at Columbia University in New York.	之后他在纽约哥伦比亚大学攻读建筑硕士学位。
From 1953 to 1979, Wang Chiu-Hwa worked with American architect Percival Goodman in New York.	1953 年到 1979 年间，王秋华在纽约和美国建筑师 Percival Goodman  共事。
She began working for him part-time as designer while still his student, and then worked for him full-time for almost thirty years, starting as an associate in 1960 and then becoming a partner.	她在向 Goodman 学习时，也以半工半读方式参与设计工作，之后和他全职工作长达近三十年；1960 年开始时是其设计师，之后成为合伙人。
Goodman exerted great influence on her architectural ideas; like Goodman, she strongly believes in the notion of the architect as having a social responsibility through their work.	Goodman 对其建筑设计理念影响甚大；如同 Goodman，她坚定认为建筑师的工作必须具有社会责任感。
Wang Chiu-Hwa returned to Taiwan in 1979.	1979 年王秋华返回台湾定居。
She began teaching at the Taipei Institute of Technology and Tamkang University, and served as architectural consultant to a number of public institutions.	她开始在台北工专与淡江大学任教，同时担任许多公共机构的建筑顾问。
In 1983, after collaborating with architect Joshua J. Pan on the Chung Yuan Christian University library, she started her own practice and has since been working in joint venture with J. J. Pan and Partners, Architects and Planners, on a number of projects.	1983 年她与建筑师潘冀共同完成中原大学图书馆的设计后，便自行成立建筑师事务所，并与潘冀联合建筑师事务所共同完成多项专案设计。 
Wang Chiu-Hwa's architectural designs are modernistic, with emphasis on environmental totality and scale.	王秋华的建筑设计是现代风格，强调环境整体性与比例。
In 1983–85, she designed the main library of Chung Yuan Christian University, which exemplifies her sense of spatial planning.	在 1983 到 85 年间，她设计了中原大学总图书馆，展现她对空间规画的理念。
It has a holding capacity of 700,000 volumes, a conference room with room for 150 people, and a study room with room for 800 people.	该图书馆藏书可达 700,000 册，附有可容纳 150 人的会议厅，以及可容纳 800 人的阅览室。
Its multiple-entry plazas and sunken gardens were designed to encourage socialising.	其多进式的广场，与下沉式的花园，是为了促进交流而设计。
A special feature of the library is the attention given to energy conservation.	该图书馆的设计特色，是要强化活跃的对话。
Natural lighting and ventilation were made possible through the use of double-height spaces, also providing visual fluidity and transparency.	使用两倍高度的空间设计，以便拥有自然采光与通风，同时具备视觉流动性与透明感。
This was her first major project after returning to Taiwan, and it won her the Taiwan Provincial Building Design Award and the National Building Design Award for Passive Energy Efficiency.	这是她回到台湾后的第一件主要作品，同时夺下台湾省政府优良建筑设计奖，以及内政部建筑节约能源优良设计奖。
Over the next three decades, she designed a number of large and award-winning buildings in Taiwan, including but not limited to:	接下来的三十年间，她在台湾设计出许多得奖的大型建筑物，包括但不限于：
1986: Precision Instruments Development Center for the National Science Council	1986：国科会精密仪器发展中心
1988: Medical Research Building & Conference Center for Veterans’ Hospital in Taichung	1988：台中荣总研究大楼与会议中心
1989: Gymnasium at Chung Yuan Christian University	1989：中原大学体育馆
1989: Main Library of National Chang Hwa Normal University	1989：国立彰化师范大学总图书馆
1991–97: Doctors’ Dormitory of Taichung Veterans General Hospital	1991－97：台中荣总医护单身宿舍
