smiles	Name	sa_score
Cc1c(C(=O)NCCO)[n+](=O)c2ccccc2n1[O-]	ZINC21984717	3.166
Cn1cc(NC=O)cc1C(=O)Nc1cc(C(=O)Nc2cc(C(=O)NCCC(N)=[NH2+])n(C)c2)n(C)c1	ZINC03872327	3.328
OC(c1ccncc1)c1ccc(OCC[NH+]2CCCC2)cc1	ZINC34421620	3.822
CC(C(=O)[O-])c1ccc(-c2ccccc2)cc1	ZINC00000361	2.462
C[NH+](C)CC(O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21	ZINC00626529	3.577
NC(=[NH2+])NCC1COc2ccccc2O1	ZINC00000357	3.290
CCC(C)(C)[NH2+]CC(O)COc1ccccc1C#N	ZINC04214111	3.698
C[NH+](C)CC(O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21	ZINC00626528	3.577
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O	ZINC04081985	3.912
COc1ccc(OC(=O)N(CC(=O)[O-])Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1	ZINC03935839	2.644
COc1ccccc1OC(=O)c1ccccc1	ZINC00000349	1.342
CC(C)CC[NH2+]CC1COc2ccccc2O1	ZINC04214115	3.701
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1	ZINC19632834	3.196
CCC1(c2ccccc2)C(=O)N(COC)C(=O)N(COC)C1=O	ZINC02986592	2.759
Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1	ZINC00141883	1.529
O=C([O-])CCCNC(=O)NC1CCCCC1	ZINC08754389	2.493
CCC(C)C(C(=O)OC1CC[N+](C)(C)CC1)c1ccccc1	ZINC00000595	3.399
CCC(C)SSc1ncc[nH]1	ZINC13209429	3.983
CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1	ZINC01690860	3.471
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O	ZINC03814360	3.994
CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O	ZINC03814379	4.056
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O	ZINC04095762	4.282
CC(C)CC(CC[NH+](C(C)C)C(C)C)(C(N)=O)c1ccccn1	ZINC02016048	4.092
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(OC(=O)CC[NH+](C)C)C1C(C)(C)CCC(O)C12C	ZINC38595287	5.519
C=CC[NH+]1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC	ZINC00601278	4.286
CC(=O)OC1C[NH+]2CCC1CC2	ZINC00492792	5.711
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O	ZINC03814418	3.994
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	ZINC03814422	4.022
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C	ZINC03814423	4.827
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C	ZINC03815424	3.810
C=CC1(C)CC(OC(=O)CSCC[NH+](CC)CC)C2(C)C3C(=O)CCC3(CCC2C)C(C)C1O	ZINC25757051	6.200
O=C([O-])C(=O)Nc1nc(-c2ccc3c(c2)OCCO3)cs1	ZINC03623428	2.594
CC[NH+]1CCCC1CNC(=O)C(O)(c1ccccc1)c1ccccc1	ZINC00900569	3.950
CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)[O-]	ZINC00004594	2.573
Cc1nnc(C(C)C)n1C1CC2CCC(C1)[NH+]2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1	ZINC03817234	5.316
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C(O)C1O	ZINC03871612	5.290
O=C([O-])CNC(=O)c1ccccc1	ZINC00097685	2.097
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C(O)C1O	ZINC03871613	5.290
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C(O)C1O	ZINC03871614	5.290
c1ccc(OCc2ccc(CCCN3CCOCC3)cc2)cc1	ZINC19865692	1.702
CC=CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1	ZINC20444132	4.042
C[NH+]1CCCC1COc1cccnc1	ZINC03805141	4.510
O=C([O-])C(O)CC(O)C(O)CO	ZINC04803503	4.398
O=C([O-])C(O)CC(O)C(O)CO	ZINC01696607	4.398
C[NH+]1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12	ZINC03823475	3.921
C(=Cc1ccccc1)C[NH+]1CCN(C(c2ccccc2)c2ccccc2)CC1	ZINC19632891	2.973
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C(O)C1O	ZINC03871615	5.290
CC(c1ccccc1)N(C)C=O	ZINC06932229	2.562
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C	ZINC03824281	4.279
O=C([O-])C(O)CC(O)C(O)CO	ZINC04803506	4.398
COc1cc(O)c(C(=O)c2ccccc2)c(O)c1	ZINC00000187	1.868
O=C([O-])C(O)CC(O)C(O)CO	ZINC04803507	4.398
COc1c2c(cc3c1C(O)N(C)CC3)OCO2	ZINC00000186	3.183
CCC(C(=O)[O-])c1ccc(CC(C)C)cc1	ZINC00015537	2.827
O=C([O-])C1[NH+]=C(c2ccccc2)c2cc(Cl)ccc2NC1(O)O	ZINC38611850	4.011
O=C([O-])C1[NH+]=C(c2ccccc2)c2cc(Cl)ccc2NC1(O)O	ZINC38611851	4.011
