atom_char_0,atom_char_1,bond_type,length_str,count
c,c,0,1.699,1
c,c,0,2.000,1
c,c,1,1.300,1
c,c,1,1.700,1
c,c,2,1.207,1
c,c,2,1.500,1
c,c,3,1.184,1
c,c,3,1.360,1
c,f,1,1.244,1
c,f,1,1.519,1
c,n,0,1.639,1
c,n,0,2.000,1
c,n,1,1.240,1
c,n,1,1.640,1
c,n,2,1.153,1
c,n,2,1.450,1
c,n,3,1.136,1
c,n,3,1.299,1
c,o,0,1.600,1
c,o,0,2.000,1
c,o,1,1.199,1
c,o,1,1.599,1
c,o,2,1.128,1
c,o,2,1.294,1
f,n,1,1.302,1
f,n,1,1.570,1
f,o,1,1.367,1
f,o,1,1.640,1
n,n,0,1.541,1
n,n,0,2.000,1
n,n,1,1.223,1
n,n,1,1.929,1
n,n,2,1.142,1
n,n,2,1.370,1
n,n,3,1.093,1
n,n,3,1.264,1
n,o,0,1.500,1
n,o,0,2.000,1
n,o,1,1.144,1
n,o,1,1.899,1
n,o,2,1.108,1
n,o,2,1.339,1
o,o,0,1.620,1
o,o,0,2.000,1
o,o,1,1.221,1
o,o,1,1.619,1
