,Transferability Metric,Source Dataset,Transferability Metric Score,Test Mean IoU,Target Dataset
0,leep,city,-1.231469988822937,0.4564622938632965,isprs
1,leep,mapillary,-1.208598256111145,0.4501448273658752,isprs
2,leep,idd,-1.2118483781814575,0.43382176756858826,isprs
3,leep,bdd,-1.3578003644943235,0.4523641467094421,isprs
4,leep,ade,-1.3086931705474854,0.4453455805778504,isprs
5,leep,camvid,-1.2133662700653076,0.4344685673713684,isprs
6,leep,coco,-1.2593241930007937,0.4565313756465912,isprs
7,leep,kitti,-1.177525758743286,0.4510539174079895,isprs
8,leep,pcontext,-1.2156533002853394,0.4495431780815125,isprs
9,leep,vkitti2,-1.33158540725708,0.4517599940299988,isprs
10,leep,sunrgbd,-1.449801683425903,0.4203411638736725,isprs
11,leep,pvoc,-1.5473562479019165,0.4292912483215332,isprs
12,leep,isaid,-1.3390051126480105,0.4944362640380859,isprs
13,leep,scannet,-1.4881601333618164,0.4221469461917877,isprs
14,leep,suim,-1.3082796335220337,0.4439345300197601,isprs
15,leep,vgallery,-1.5992518663406372,0.4303898811340332,isprs
16,leep,city,-2.093314409255981,0.3564017713069916,isaid
17,leep,mapillary,-1.9099462032318115,0.3856968879699707,isaid
18,leep,idd,-2.0880401134490967,0.3871359825134277,isaid
19,leep,bdd,-2.169029712677002,0.37296321988105774,isaid
20,leep,ade,-1.868431568145752,0.3740013241767883,isaid
21,leep,camvid,-2.073818683624268,0.340665340423584,isaid
22,leep,coco,-1.8474458456039429,0.3897742629051209,isaid
23,leep,kitti,-2.0671255588531494,0.3703555762767792,isaid
24,leep,pcontext,-1.946115016937256,0.3941115736961365,isaid
25,leep,vkitti2,-2.002206563949585,0.34070298075675964,isaid
26,leep,sunrgbd,-2.0075221061706543,0.3648094832897186,isaid
27,leep,pvoc,-2.250731468200684,0.37150999903678894,isaid
28,leep,scannet,-2.0326619148254395,0.3751470446586609,isaid
29,leep,suim,-2.1268255710601807,0.3906171917915344,isaid
30,leep,isprs,-2.18682861328125,0.3542763292789459,isaid
31,leep,vgallery,-2.333544969558716,0.34656187891960144,isaid
32,leep,city,-2.812793254852295,0.2516387104988098,pcontext
33,leep,mapillary,-2.2737069129943848,0.264154851436615,pcontext
34,leep,idd,-2.740070343017578,0.2551575005054474,pcontext
35,leep,bdd,-2.7434191703796387,0.2467824965715409,pcontext
36,leep,ade,-1.8047033548355105,0.2815335690975189,pcontext
37,leep,camvid,-3.0050945281982417,0.2508440613746643,pcontext
38,leep,coco,-1.162122130393982,0.3932097852230072,pcontext
39,leep,kitti,-3.078617811203003,0.2606618106365204,pcontext
40,leep,vkitti2,-3.206741571426392,0.2500828206539154,pcontext
41,leep,sunrgbd,-2.9275243282318115,0.22788189351558685,pcontext
42,leep,pvoc,-2.3904500007629395,0.3578269183635712,pcontext
43,leep,isaid,-3.5063800811767583,0.2616758942604065,pcontext
44,leep,scannet,-3.0676457881927486,0.2000553458929062,pcontext
45,leep,suim,-3.345472574234009,0.2489817589521408,pcontext
46,leep,isprs,-3.545731782913208,0.2445549666881561,pcontext
47,leep,vgallery,-3.835760116577149,0.2583250105381012,pcontext
48,leep,city,-1.899473071098328,0.4720245599746704,pvoc
49,leep,mapillary,-1.5649185180664062,0.4716634154319763,pvoc
50,leep,idd,-1.8205937147140503,0.4713362157344818,pvoc
51,leep,bdd,-1.834206223487854,0.4732373654842377,pvoc
52,leep,ade,-1.1378358602523804,0.4697454869747162,pvoc
53,leep,camvid,-2.2239034175872803,0.4688556194305421,pvoc
54,leep,coco,-0.3993972539901733,0.7060430645942688,pvoc
55,leep,kitti,-2.4454174041748047,0.4870017766952514,pvoc
56,leep,pcontext,-0.3676702380180359,0.6937801837921143,pvoc
57,leep,vkitti2,-2.435462474822998,0.4732002913951874,pvoc
58,leep,sunrgbd,-2.117683887481689,0.3951655030250549,pvoc
59,leep,isaid,-2.5193960666656494,0.4951044321060181,pvoc
60,leep,scannet,-2.2266521453857417,0.3684181272983551,pvoc
61,leep,suim,-2.4047956466674805,0.4747683107852936,pvoc
62,leep,isprs,-2.6552250385284424,0.4237203598022461,pvoc
63,leep,vgallery,-2.8559033870697017,0.4802064001560211,pvoc
64,leep,city,-3.475204467773437,0.2267426252365113,ade
65,leep,mapillary,-3.126118421554565,0.2286905199289322,ade
66,leep,idd,-3.5173137187957764,0.2251771241426468,ade
67,leep,bdd,-3.518575429916382,0.2162834405899048,ade
68,leep,camvid,-3.673222780227661,0.223785862326622,ade
69,leep,coco,-2.1335597038269043,0.2600853443145752,ade
70,leep,kitti,-3.645777463912964,0.22527043521404266,ade
71,leep,pcontext,-2.578413486480713,0.2244292497634888,ade
72,leep,vkitti2,-3.81262731552124,0.2286168932914734,ade
73,leep,sunrgbd,-3.3518776893615723,0.2202808111906052,ade
74,leep,pvoc,-4.102163314819337,0.2116183042526245,ade
75,leep,isaid,-4.1311774253845215,0.2322429120540619,ade
76,leep,scannet,-3.625619649887085,0.2047383189201355,ade
77,leep,suim,-4.103700637817384,0.21790504455566406,ade
78,leep,isprs,-4.339461803436278,0.2188767045736313,ade
79,leep,vgallery,-4.47138786315918,0.2225400060415268,ade
80,leep,city,-3.678242921829224,0.2927364706993103,coco
81,leep,mapillary,-3.154313802719116,0.2878898084163666,coco
82,leep,idd,-3.6134984493255615,0.2935314178466797,coco
83,leep,bdd,-3.624899864196777,0.2868475019931793,coco
84,leep,ade,-2.436903476715088,0.28686341643333435,coco
85,leep,camvid,-3.841737508773804,0.2974616587162018,coco
86,leep,kitti,-3.8510010242462163,0.30201491713523865,coco
87,leep,pcontext,-2.460292339324951,0.2982653379440308,coco
88,leep,vkitti2,-3.985077619552612,0.2976023256778717,coco
89,leep,sunrgbd,-3.588652849197388,0.2804397642612457,coco
90,leep,pvoc,-3.65532898902893,0.29352959990501404,coco
91,leep,isaid,-4.1434903144836435,0.30158302187919617,coco
92,leep,scannet,-3.689093351364136,0.2632288038730621,coco
93,leep,suim,-4.035967350006104,0.2897903621196747,coco
94,leep,isprs,-4.394412040710448,0.2880822420120239,coco
95,leep,vgallery,-4.568970680236816,0.30154022574424744,coco
96,leep,city,-1.2973791360855105,0.5097879767417908,kitti
97,leep,mapillary,-1.1194593906402588,0.5075771808624268,kitti
98,leep,idd,-1.5152798891067505,0.4975958466529846,kitti
99,leep,bdd,-1.70318603515625,0.4863439500331879,kitti
100,leep,ade,-1.6379072666168213,0.485243022441864,kitti
101,leep,camvid,-1.8706291913986208,0.4701007604598999,kitti
102,leep,coco,-1.7736014127731323,0.4881167113780975,kitti
103,leep,pcontext,-1.821455001831055,0.4734027087688446,kitti
104,leep,vkitti2,-2.104198694229126,0.4637660086154938,kitti
105,leep,sunrgbd,-2.6945598125457764,0.4326200783252716,kitti
106,leep,pvoc,-2.848219394683838,0.4672366976737976,kitti
107,leep,isaid,-2.7850265502929688,0.4679950475692749,kitti
108,leep,scannet,-2.7601704597473145,0.4453966617584229,kitti
109,leep,suim,-2.9616103172302246,0.4559333622455597,kitti
110,leep,isprs,-3.0196821689605717,0.4465798139572144,kitti
111,leep,vgallery,-3.144349813461304,0.4682630896568298,kitti
112,leep,city,-1.465510010719299,0.5564266443252563,camvid
113,leep,mapillary,-1.1261435747146606,0.5760424733161926,camvid
114,leep,idd,-1.361775040626526,0.5358354449272156,camvid
115,leep,bdd,-1.4731547832489014,0.5494073033332825,camvid
116,leep,ade,-1.6745193004608154,0.5447724461555481,camvid
117,leep,coco,-1.713523507118225,0.5046649575233461,camvid
118,leep,kitti,-1.7591077089309692,0.5371167063713074,camvid
119,leep,pcontext,-1.795290470123291,0.5107795000076294,camvid
120,leep,vkitti2,-2.0996875762939453,0.4893212914466858,camvid
121,leep,sunrgbd,-2.5660109519958496,0.5146802067756653,camvid
122,leep,pvoc,-2.6497483253479004,0.5047959685325623,camvid
123,leep,isaid,-2.9381225109100337,0.4989903271198273,camvid
124,leep,scannet,-2.7136404514312744,0.5097765922546387,camvid
125,leep,suim,-2.930224895477295,0.48915234208107,camvid
126,leep,isprs,-3.0434799194335938,0.4892949759960175,camvid
127,leep,vgallery,-3.1074020862579346,0.5069730281829834,camvid
128,leep,mapillary,-1.113580584526062,0.5052567720413208,city
129,leep,idd,-1.618927240371704,0.4694615602493286,city
130,leep,bdd,-1.6839020252227783,0.4592298865318298,city
131,leep,ade,-1.7785896062850952,0.4418688416481018,city
132,leep,camvid,-1.912973999977112,0.4288424551486969,city
133,leep,coco,-1.951221704483032,0.44930359721183777,city
134,leep,kitti,-1.986978769302368,0.4268321096897125,city
135,leep,pcontext,-2.0140182971954346,0.43079546093940735,city
136,leep,vkitti2,-2.364037275314331,0.42208772897720337,city
137,leep,sunrgbd,-2.701848030090332,0.405397355556488,city
138,leep,pvoc,-2.824652194976806,0.4246866703033447,city
139,leep,isaid,-2.9960210323333736,0.4230812191963196,city
140,leep,scannet,-3.0099925994873047,0.3926692306995392,city
141,leep,suim,-3.1214494705200195,0.4214944541454315,city
142,leep,isprs,-3.192284345626831,0.4000628888607025,city
143,leep,vgallery,-3.217225313186645,0.4197588264942169,city
144,leep,city,-1.7347449064254759,0.3985193967819214,idd
145,leep,mapillary,-1.3312846422195437,0.4325865209102631,idd
146,leep,bdd,-1.7383137941360474,0.3977397382259369,idd
147,leep,ade,-1.8539899587631223,0.3875559270381928,idd
148,leep,camvid,-2.0678174495697017,0.37062591314315796,idd
149,leep,coco,-1.773542046546936,0.4091227948665619,idd
150,leep,kitti,-2.1135303974151607,0.37919020652771,idd
151,leep,pcontext,-1.9277522563934328,0.3870647251605988,idd
152,leep,vkitti2,-2.373627185821533,0.3845299482345581,idd
153,leep,sunrgbd,-2.6822516918182373,0.3651407957077025,idd
154,leep,pvoc,-2.7352685928344727,0.38511568307876587,idd
155,leep,isaid,-3.029218435287476,0.3802219033241272,idd
156,leep,scannet,-2.8007235527038574,0.351782500743866,idd
157,leep,suim,-2.9663777351379395,0.3766075372695923,idd
158,leep,isprs,-3.1622240543365483,0.3619232177734375,idd
159,leep,vgallery,-3.2703394889831543,0.3705231547355652,idd
160,leep,city,-1.2089706659317017,0.5004068613052368,bdd
161,leep,mapillary,-0.7228440046310425,0.5859153866767883,bdd
162,leep,idd,-1.0680320262908936,0.5142844319343567,bdd
163,leep,ade,-1.1559548377990725,0.4860849976539612,bdd
164,leep,camvid,-1.478718400001526,0.4611768126487732,bdd
165,leep,coco,-1.2335150241851809,0.5069599151611328,bdd
166,leep,kitti,-1.5900833606719968,0.4585668742656708,bdd
167,leep,pcontext,-1.35305655002594,0.4581012725830078,bdd
168,leep,vkitti2,-1.903363585472107,0.4469320774078369,bdd
169,leep,sunrgbd,-2.2331302165985107,0.4178779125213623,bdd
170,leep,pvoc,-2.259040117263794,0.4575003981590271,bdd
171,leep,isaid,-2.4986889362335205,0.4468397796154022,bdd
172,leep,scannet,-2.3812448978424072,0.3974407315254211,bdd
173,leep,suim,-2.417736768722534,0.4409498870372772,bdd
174,leep,isprs,-2.5427286624908447,0.41049924492836,bdd
175,leep,vgallery,-2.731947422027588,0.4332362115383148,bdd
176,leep,city,-2.194131135940552,0.2875230312347412,mapillary
177,leep,idd,-2.238861322402954,0.2908155024051666,mapillary
178,leep,bdd,-2.395901679992676,0.2824128270149231,mapillary
179,leep,ade,-2.250359058380127,0.27414900064468384,mapillary
180,leep,camvid,-2.624514579772949,0.2549507021903992,mapillary
181,leep,coco,-2.345279693603516,0.2948775291442871,mapillary
182,leep,kitti,-2.6201210021972656,0.2554860115051269,mapillary
183,leep,pcontext,-2.468578815460205,0.26817020773887634,mapillary
184,leep,vkitti2,-2.971649169921875,0.25741392374038696,mapillary
185,leep,sunrgbd,-3.1988658905029297,0.2393669784069061,mapillary
186,leep,pvoc,-3.556324243545532,0.2606019973754883,mapillary
187,leep,isaid,-3.5307557582855225,0.26072952151298523,mapillary
188,leep,scannet,-3.3486649990081787,0.2320623993873596,mapillary
189,leep,suim,-3.5879812240600586,0.2561517357826233,mapillary
190,leep,isprs,-3.703556776046753,0.2471086084842682,mapillary
191,leep,vgallery,-3.866758823394776,0.2546892762184143,mapillary
192,leep,city,-2.8083176612854004,0.18035291135311127,sunrgbd
193,leep,mapillary,-2.746713876724243,0.18085160851478574,sunrgbd
194,leep,idd,-2.7885510921478267,0.17898337543010712,sunrgbd
195,leep,bdd,-2.9025216102600098,0.18214774131774905,sunrgbd
196,leep,ade,-1.5244160890579224,0.3138536214828491,sunrgbd
197,leep,camvid,-2.9085373878479004,0.1808767467737198,sunrgbd
198,leep,coco,-1.4525768756866455,0.32394856214523315,sunrgbd
199,leep,kitti,-2.8619589805603027,0.1999163776636124,sunrgbd
200,leep,pcontext,-2.0565009117126465,0.22244088351726526,sunrgbd
201,leep,vkitti2,-2.974644184112549,0.18272536993026733,sunrgbd
202,leep,pvoc,-2.9235565662384038,0.20057378709316254,sunrgbd
203,leep,isaid,-2.986325025558472,0.1916503608226776,sunrgbd
204,leep,scannet,-1.6975125074386597,0.3259297311306,sunrgbd
205,leep,suim,-3.0864291191101074,0.2019830346107483,sunrgbd
206,leep,isprs,-3.205441236495972,0.17626352608203888,sunrgbd
207,leep,vgallery,-3.2668161392211914,0.1893861293792725,sunrgbd
208,leep,city,-3.0288634300231934,0.13296067714691162,scannet
209,leep,mapillary,-2.939620018005371,0.13672104477882385,scannet
210,leep,idd,-2.995035409927368,0.13427282869815824,scannet
211,leep,bdd,-3.1444456577301025,0.13256442546844482,scannet
212,leep,ade,-2.097848415374756,0.18784499168396,scannet
213,leep,camvid,-3.1530630588531494,0.13558366894721985,scannet
214,leep,coco,-1.856464147567749,0.2238691598176956,scannet
215,leep,kitti,-3.08064866065979,0.13729262351989746,scannet
216,leep,pcontext,-2.519190788269043,0.14731533825397491,scannet
217,leep,vkitti2,-3.1344263553619385,0.13427439332008362,scannet
218,leep,sunrgbd,-2.0036640167236333,0.2443950921297073,scannet
219,leep,pvoc,-3.1296002864837646,0.1398753821849823,scannet
220,leep,isaid,-3.1752901077270512,0.1343507468700409,scannet
221,leep,suim,-3.2087192535400386,0.13519951701164246,scannet
222,leep,isprs,-3.352538585662842,0.11764591932296753,scannet
223,leep,vgallery,-3.3869874477386475,0.13483598828315735,scannet
224,leep,city,-1.5285321474075315,0.5079548358917236,suim
225,leep,mapillary,-1.4046577215194702,0.5001450181007385,suim
226,leep,idd,-1.55061936378479,0.5263171195983887,suim
