,Transferability Metric,Source Architecture,Transferability Metric Score,Test Accuracy,Trainable Backbone,Target Dataset
0,gbc,resnet50,-277.8551330566406,0.660137951374054,False,sun397
1,gbc,resnet50,-277.8551330566406,0.6595402359962463,True,sun397
2,gbc,resnet101,-254.41465759277344,0.6686436533927917,False,sun397
3,gbc,resnet101,-254.41465759277344,0.6491494178771973,True,sun397
4,gbc,resnet50v2,-360.1896057128906,0.6057011485099792,False,sun397
5,gbc,resnet50v2,-360.1896057128906,0.601425290107727,True,sun397
6,gbc,resnet101v2,-316.2611389160156,0.618482768535614,False,sun397
7,gbc,resnet101v2,-316.2611389160156,0.6129655241966248,True,sun397
8,gbc,resnet152v2,-331.1523132324219,0.6198160648345947,False,sun397
9,gbc,resnet152v2,-331.1523132324219,0.6052873730659485,True,sun397
10,gbc,vgg16,-473.3241271972656,0.5828505754470825,False,sun397
11,gbc,vgg16,-473.3241271972656,0.5605517029762268,True,sun397
12,gbc,vgg19,-455.1226501464844,0.5799540281295776,False,sun397
13,gbc,vgg19,-455.1226501464844,0.5443218350410461,True,sun397
14,gbc,densenet121,-309.1794738769531,0.6573333144187927,False,sun397
15,gbc,densenet121,-309.1794738769531,0.6514022946357727,True,sun397
16,gbc,densenet169,-256.0130310058594,0.6765057444572449,False,sun397
17,gbc,densenet169,-256.0130310058594,0.6709425449371338,True,sun397
18,gbc,densenet201,-250.86859130859375,0.6801838874816895,False,sun397
19,gbc,densenet201,-250.86859130859375,0.679908037185669,True,sun397
20,gbc,xception,-324.3309631347656,0.6160919666290283,False,sun397
21,gbc,xception,-324.3309631347656,0.665517270565033,True,sun397
22,gbc,mobilenet,-469.644775390625,0.6448735594749451,False,sun397
23,gbc,mobilenet,-469.644775390625,0.6731494069099426,True,sun397
24,gbc,mobilenetv2,-398.728759765625,0.6343908309936523,False,sun397
25,gbc,mobilenetv2,-398.728759765625,0.6572414040565491,True,sun397
26,gbc,mobilenetv3,-210.92127990722656,0.6707586050033569,False,sun397
27,gbc,mobilenetv3,-210.92127990722656,0.6656551957130432,True,sun397
28,gbc,nasnetmobile,-358.8656005859375,0.59926438331604,False,sun397
29,gbc,nasnetmobile,-358.8656005859375,0.6397700905799866,True,sun397
30,gbc,efficientnetb0,-235.2465057373047,0.6841838955879211,False,sun397
31,gbc,efficientnetb0,-235.2465057373047,0.7037241458892822,True,sun397
32,gbc,efficientnetb1,-216.38287353515625,0.6861609220504761,False,sun397
33,gbc,efficientnetb1,-216.38287353515625,0.7137930989265442,True,sun397
34,gbc,efficientnetb2,-232.30149841308594,0.6806896328926086,False,sun397
35,gbc,efficientnetb2,-232.30149841308594,0.7130574584007263,True,sun397
36,gbc,efficientnetb3,-252.68576049804688,0.6708965301513672,False,sun397
37,gbc,efficientnetb3,-252.68576049804688,0.7157241106033325,True,sun397
38,leep,resnet50,-3.097930908203125,0.660137951374054,False,sun397
39,leep,resnet50,-3.097930908203125,0.6595402359962463,True,sun397
40,leep,resnet101,-3.04264760017395,0.6686436533927917,False,sun397
41,leep,resnet101,-3.04264760017395,0.6491494178771973,True,sun397
42,leep,resnet50v2,-3.157982349395752,0.6057011485099792,False,sun397
43,leep,resnet50v2,-3.157982349395752,0.601425290107727,True,sun397
44,leep,resnet101v2,-3.065927028656006,0.618482768535614,False,sun397
45,leep,resnet101v2,-3.065927028656006,0.6129655241966248,True,sun397
46,leep,resnet152v2,-3.113765239715576,0.6198160648345947,False,sun397
47,leep,resnet152v2,-3.113765239715576,0.6052873730659485,True,sun397
48,leep,vgg16,-3.2988545894622803,0.5828505754470825,False,sun397
49,leep,vgg16,-3.2988545894622803,0.5605517029762268,True,sun397
50,leep,vgg19,-3.3139593601226807,0.5799540281295776,False,sun397
51,leep,vgg19,-3.3139593601226807,0.5443218350410461,True,sun397
52,leep,densenet121,-3.1110897064208984,0.6573333144187927,False,sun397
53,leep,densenet121,-3.1110897064208984,0.6514022946357727,True,sun397
54,leep,densenet169,-2.9788193702697754,0.6765057444572449,False,sun397
55,leep,densenet169,-2.9788193702697754,0.6709425449371338,True,sun397
56,leep,densenet201,-3.0114917755126953,0.6801838874816895,False,sun397
57,leep,densenet201,-3.0114917755126953,0.679908037185669,True,sun397
58,leep,xception,-3.0331063270568848,0.6160919666290283,False,sun397
59,leep,xception,-3.0331063270568848,0.665517270565033,True,sun397
60,leep,mobilenet,-3.142874002456665,0.6448735594749451,False,sun397
61,leep,mobilenet,-3.142874002456665,0.6731494069099426,True,sun397
62,leep,mobilenetv2,-3.4134840965270996,0.6343908309936523,False,sun397
63,leep,mobilenetv2,-3.4134840965270996,0.6572414040565491,True,sun397
64,leep,mobilenetv3,-3.230607748031616,0.6707586050033569,False,sun397
65,leep,mobilenetv3,-3.230607748031616,0.6656551957130432,True,sun397
66,leep,nasnetmobile,-3.235409736633301,0.59926438331604,False,sun397
67,leep,nasnetmobile,-3.235409736633301,0.6397700905799866,True,sun397
68,leep,efficientnetb0,-3.37139892578125,0.6841838955879211,False,sun397
69,leep,efficientnetb0,-3.37139892578125,0.7037241458892822,True,sun397
70,leep,efficientnetb1,-3.3064467906951904,0.6861609220504761,False,sun397
71,leep,efficientnetb1,-3.3064467906951904,0.7137930989265442,True,sun397
72,leep,efficientnetb2,-3.308119297027588,0.6806896328926086,False,sun397
73,leep,efficientnetb2,-3.308119297027588,0.7130574584007263,True,sun397
74,leep,efficientnetb3,-3.3183035850524902,0.6708965301513672,False,sun397
75,leep,efficientnetb3,-3.3183035850524902,0.7157241106033325,True,sun397
76,nleep,resnet50,-1.6807841062545776,0.660137951374054,False,sun397
77,nleep,resnet50,-1.6807841062545776,0.6595402359962463,True,sun397
78,nleep,resnet101,-1.6470866203308105,0.6686436533927917,False,sun397
79,nleep,resnet101,-1.6470866203308105,0.6491494178771973,True,sun397
80,nleep,resnet50v2,-1.869017481803894,0.6057011485099792,False,sun397
81,nleep,resnet50v2,-1.869017481803894,0.601425290107727,True,sun397
82,nleep,resnet101v2,-1.8131099939346313,0.618482768535614,False,sun397
83,nleep,resnet101v2,-1.8131099939346313,0.6129655241966248,True,sun397
84,nleep,resnet152v2,-1.838799238204956,0.6198160648345947,False,sun397
85,nleep,resnet152v2,-1.838799238204956,0.6052873730659485,True,sun397
86,nleep,vgg16,-2.0515637397766113,0.5828505754470825,False,sun397
87,nleep,vgg16,-2.0515637397766113,0.5605517029762268,True,sun397
88,nleep,vgg19,-2.038637638092041,0.5799540281295776,False,sun397
89,nleep,vgg19,-2.038637638092041,0.5443218350410461,True,sun397
90,nleep,densenet121,-1.6623455286026,0.6573333144187927,False,sun397
91,nleep,densenet121,-1.6623455286026,0.6514022946357727,True,sun397
92,nleep,densenet169,-1.572317123413086,0.6765057444572449,False,sun397
93,nleep,densenet169,-1.572317123413086,0.6709425449371338,True,sun397
94,nleep,densenet201,-1.555953860282898,0.6801838874816895,False,sun397
95,nleep,densenet201,-1.555953860282898,0.679908037185669,True,sun397
96,nleep,xception,-1.8100517988204956,0.6160919666290283,False,sun397
97,nleep,xception,-1.8100517988204956,0.665517270565033,True,sun397
