Tensor2Tensor HParams,MOSES BLEU,Sparsity,begin_pruning_step,end_pruning_step,pruning_frequency,regularization,threshold_decay
sparse_transformer_magnitude_pruning,26.11,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.03,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.06,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.84,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.11,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.08,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.04,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.93,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.96,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.22,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.86,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.02,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.04,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.13,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.04,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.84,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.08,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.13,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.97,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.07,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.81,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.9,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.23,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.24,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,26.13,0.5,100000,400000,10000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.34,0.600001454353,100000,400000,1000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.4,0.600001454353,100000,400000,1000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.18,0.600001454353,100000,400000,1000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.49,0.600001454353,100000,400000,1000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.34,0.600001454353,100000,400000,1000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.62,0.600001454353,100000,400000,1000,dropout+label_smoothing,0
sparse_transformer_magnitude_pruning,25.36,0.600001454353,100000,400000,1000,dropout+label_smoothing,0
