frames,reward,visited_rooms,learned_transitions
0,0.0,0.0,0.0
1000000,0.0,1.0,11.0
2000000,40.17081044716731,1.0,14.0
3000000,91.44676120584627,1.0,20.0
4000000,100.0,1.0,24.0
5000000,100.0,1.0,24.0
6000000,100.0,1.0,24.0
7000000,101.55452322438698,1.0,28.0
8000000,147.51913660070232,1.0,31.0
9000000,193.48374997701768,1.0,32.0
10000000,239.44836335333304,2.3655775743133076,35.365577574313306
11000000,285.4129767296484,5.0,40.21145975443383
12000000,331.37759010596375,5.0,43.0
13000000,377.3422034822791,5.0,44.5719707057257
14000000,400.0,5.0,48.0
15000000,400.0,5.0,51.21270462267065
16000000,400.0,5.0,53.0
17000000,400.0,5.0,56.88568069278947
18000000,400.0,5.0,59.0
19000000,400.0,5.0,62.21695747099475
20000000,400.0,5.0,65.0
21000000,400.0,6.0,65.0
22000000,400.0,6.0,65.0
23000000,400.0,6.0,67.37226277372262
24000000,400.0,6.0,70.0
25000000,400.0,6.0,71.0
26000000,400.0,6.0,73.95826104704561
27000000,400.0,6.0,76.7889461424437
28000000,400.0,6.0,77.0
29000000,400.0,6.0,77.09492177574504
30000000,403.34142671236566,6.0,81.0
31000000,413.47334838531617,6.0,82.64825469427058
32000000,423.6052700582667,6.0,86.05816304935688
33000000,433.73719173121714,6.0,89.0
34000000,443.86911340416765,6.0,89.0
35000000,454.0010350771181,6.0,90.83738916448576
36000000,464.1329567500686,6.0,92.52680095256996
37000000,474.26487842301907,6.0,96.00047953964194
38000000,484.3968000959696,6.0,99.0
39000000,494.52872176892004,6.0,100.0
40000000,588.808351455543,6.0,101.0
41000000,781.8716638659615,6.0,102.06301808039632
42000000,974.9349762763802,6.0,103.0
43000000,1167.9982886867988,6.0,103.0
44000000,1361.0616010972176,6.0,103.91303513150316
45000000,1554.124913507636,6.0,106.0408812840019
46000000,1747.1882259180547,6.0,107.0
47000000,1940.2515383284733,6.0,107.0
48000000,2133.314850738892,6.0,108.17306239884913
49000000,2326.3781631493102,6.0,110.52059627892477
50000000,2500.714201619046,6.0,113.0
51000000,2507.8065712222847,6.0,115.26701222473238
52000000,2514.8989408255234,6.0,117.75435364454795
53000000,2521.991310428762,6.0,121.29583069133147
54000000,2529.0836800320008,6.0,124.5493910314275
55000000,2536.1760496352395,8.045189090540404,127.0451890905404
56000000,2543.268419238478,10.0,129.10989419118286
57000000,2550.360788841717,10.0,131.21004028509452
58000000,2557.4531584449555,10.0,134.25807744796998
59000000,2564.5455280481942,10.0,136.0
60000000,2571.637897651433,10.0,137.1467843117254
61000000,2578.730267254671,10.0,138.13749536063344
62000000,2585.82263685791,11.0,139.2292159816369
63000000,2592.9150064611486,11.0,140.44337614678898
64000000,2600.005796138657,11.0,141.0
65000000,2605.5790063857844,11.0,142.0
66000000,2611.1522166329114,11.0,144.0
67000000,2616.725426880039,11.0,145.9499674015406
68000000,2622.2986371271663,11.0,148.61004772542648
69000000,2627.8718473742933,11.0,151.0
70000000,2633.445057621421,11.0,152.6020394270113
71000000,2639.018267868548,11.0,154.42889357236402
72000000,2644.5914781156753,11.0,156.40431417214847
73000000,2650.1646883628027,11.0,158.0
74000000,2655.7378986099297,11.0,158.0
75000000,2661.311108857057,11.0,158.97825065799776
76000000,2666.8843191041847,11.0,161.68286890740208
77000000,2672.4575293513117,11.0,163.8881633870006
78000000,2678.030739598439,11.0,164.0
