frames,reward,visited_rooms,learned_transitions
0,0.0,0.0,0.0
1000000,0.0,5.0,0.639664230028604
2000000,0.0,6.0,3.0
3000000,0.0,6.0,9.0
4000000,0.0,6.0,15.0
5000000,-62.772178640858534,7.0,22.375168751687518
6000000,-128.62716070196143,9.980374963464028,28.990187481732015
7000000,-194.4821427630643,10.0,31.90236519117058
8000000,-260.3371248241672,10.0,36.82880829015544
9000000,-326.1921068852701,10.0,40.501602951850955
10000000,-392.047088946373,10.0,41.0
11000000,-342.4652299268019,10.0,42.074884971882014
12000000,-277.0279979740633,10.0,45.4701979854116
13000000,-211.5907660213247,10.0,46.094092125537266
14000000,-146.15353406858608,10.0,51.0
15000000,-80.7163021158475,10.0,52.42857434723982
16000000,-15.279070163108884,10.0,54.98932768847435
17000000,0.0,10.0,58.0
18000000,0.0,10.0,58.0
19000000,0.0,10.0,58.0
20000000,0.0,10.0,60.0
21000000,0.0,10.0,62.0
22000000,0.0,10.0,68.2716881301787
23000000,0.0,10.0,73.29308613154538
24000000,0.0,10.0,77.0
25000000,0.0,10.0,77.0
26000000,0.0,10.0,77.0
27000000,0.0,10.0,78.0
28000000,0.0,10.0,78.0
29000000,0.0,10.0,81.31857240761242
30000000,0.0,10.0,83.0
31000000,0.0,10.0,84.0
32000000,0.0,10.0,84.0
33000000,0.0,10.0,86.57375941120144
34000000,0.0,10.0,91.30462944144494
35000000,0.0,10.0,95.0
36000000,0.0,11.0,98.23508427717827
37000000,0.0,14.64323362941823,101.0409238941195
38000000,0.0,18.0,102.65801346942945
39000000,0.0,18.0,104.0
40000000,0.0,18.0,104.65126384976526
41000000,0.0,18.0,106.0
42000000,0.0,18.0,108.47538321482175
43000000,0.0,18.0,111.0
44000000,0.0,18.0,113.27595587467245
45000000,0.0,18.0,114.46591150510845
46000000,0.0,18.0,117.0
47000000,0.0,18.0,118.17753535353535
48000000,0.0,18.0,120.0
49000000,0.0,19.0,122.0
50000000,0.0,19.0,122.0
51000000,0.0,19.0,122.0
52000000,0.0,19.0,123.0
53000000,0.0,19.0,126.0
54000000,0.0,19.0,126.0
55000000,0.0,19.0,126.0
56000000,0.0,19.0,126.0
57000000,0.0,19.0,126.0
58000000,0.0,19.0,126.0
59000000,0.0,19.0,126.0
60000000,0.0,19.0,126.0
61000000,0.0,19.0,126.0
62000000,0.0,19.0,126.0
63000000,0.0,19.0,126.0
64000000,0.0,19.0,126.0
65000000,0.0,19.0,126.0
66000000,0.0,19.0,126.0
67000000,0.0,19.0,126.0
68000000,0.0,19.0,126.0
69000000,0.0,19.0,126.0
70000000,0.0,19.0,126.0
71000000,0.0,19.0,126.0
72000000,0.0,19.0,126.0
73000000,0.0,19.0,126.0
74000000,0.0,19.0,127.24358101341879
75000000,0.0,19.0,130.9638875986995
76000000,0.0,19.0,131.0
77000000,0.0,19.0,131.0
78000000,0.0,19.0,131.0
79000000,0.0,19.0,131.0
80000000,0.0,19.0,131.0
81000000,0.0,19.0,131.0
82000000,0.0,19.0,131.0
83000000,0.0,19.0,132.0
84000000,0.0,19.0,132.0
85000000,0.0,19.0,134.23241594184083
86000000,0.0,19.0,136.41834793113864
87000000,0.0,19.0,138.0
88000000,0.0,19.0,138.0
89000000,0.0,19.0,139.0
90000000,0.0,19.0,139.3517444447141
91000000,0.0,19.0,140.06770772806507
92000000,0.0,19.0,143.4202728413553
93000000,0.0,19.0,146.00046855799067
94000000,0.0,19.0,148.78332242510052
95000000,0.0,19.0,150.0
96000000,0.0,19.0,151.0
97000000,0.0,19.0,151.0
98000000,0.0,19.0,151.63183895726306
99000000,0.0,19.0,154.33236027560775
100000000,0.0,19.0,155.69150718669252
101000000,0.0,19.0,157.0779291386683
102000000,0.0,19.0,158.65365174470782
103000000,0.0,19.552400052603893,159.5524000526039
104000000,0.0,20.0,161.6046003211936
105000000,0.0,20.0,163.68708852916117
106000000,0.0,20.0,164.0
107000000,0.0,20.0,165.8908471541508
108000000,0.0,20.0,166.00192462001837
109000000,0.0,20.0,167.57527497540272
110000000,0.0,20.0,169.55470563143015
111000000,0.0,20.0,171.1544106234371
112000000,0.0,20.0,173.35258793448966
113000000,0.0,20.0,175.2950339479521
114000000,0.0,20.0,177.45735252343528
115000000,0.0,20.0,179.4885275394409
116000000,0.0,20.0,181.7792998323256
117000000,0.0,20.0,184.14988973425957
118000000,0.0,20.0,185.95973033347693
119000000,0.0,20.0,188.24897424858767
120000000,0.0,20.0,190.0
121000000,0.0,20.0,191.03230933311028
122000000,0.0,20.0,193.74757009345794
123000000,0.0,20.0,195.67654550911567
124000000,0.0,20.0,196.96967335143182
125000000,0.0,20.998400997777388,198.9984009977774
126000000,0.0,21.0,200.0
127000000,0.0,21.0,201.0
128000000,0.0,21.0,201.9479010193133
129000000,0.0,21.0,203.8426150796974
130000000,0.0,21.0,204.91386637172005
131000000,0.0,21.0,207.06662834726856
132000000,0.0,21.0,208.70755777925683
133000000,0.0,21.0,210.6121213344366
134000000,0.0,21.0,211.22307962360003
135000000,0.0,21.0,212.90122036972537
136000000,0.0,21.0,214.63989940823987
137000000,0.0,22.0,216.25080780573154
138000000,0.0,22.0,218.03145589056393
139000000,0.0,22.763386913014234,219.76338691301424
140000000,0.0,23.0,221.0
141000000,0.0,23.0,221.06810215322986
142000000,0.0,23.0,222.84670024733063
143000000,0.0,23.0,224.5637206657481
144000000,0.0,23.0,226.18061623431166
145000000,0.0,23.0,227.56060784256073
146000000,0.0,23.0,229.1094081544183
147000000,0.0,23.0,230.49168949676013
