frames,reward,visited_rooms,learned_transitions
0,0.0,0.0,0.0
1000000,1316.5451127893234,29.65159377316531,0.0
2000000,2633.090225578647,32.0,0.0
3000000,3949.6353383679702,32.0,0.7798369162342476
4000000,5266.180451157294,32.0,1.7064492216456635
5000000,6582.725563946617,32.0,2.0
6000000,7899.2706767359405,32.0,2.3074589492945536
7000000,9215.815789525264,32.0,4.952763632505835
8000000,10532.360902314587,32.0,6.0
9000000,11848.90601510391,32.0,13.0
10000000,13165.451127893233,32.0,19.607058749646747
11000000,10668.517846962906,32.0,25.62804371887106
12000000,7194.38132647712,32.0,31.634017869049206
13000000,3720.244805991335,32.0,41.854559122667375
14000000,246.10828550555016,32.0,45.15761792582041
15000000,-96.21388228266431,32.0,52.10865905356889
16000000,-301.04201658139607,32.0,55.0
17000000,-505.8701508801279,32.0,59.97918078369979
18000000,-710.6982851788596,32.0,64.78870051330125
19000000,-915.5264194775914,32.0,70.3389502501652
20000000,-1000.0,32.0,75.72201277703289
21000000,-1000.0,32.0,79.61462576374745
22000000,-1000.0,32.0,84.9757488087134
23000000,-1000.0,32.0,90.0
24000000,-1000.0,32.0,93.71702933200582
25000000,-1000.0,32.0,98.55800197967214
26000000,-1000.0,32.0,102.0
27000000,-999.2336558481813,32.0,105.8546858755384
28000000,-986.714965443407,32.0,109.79831214468882
29000000,-974.1962750386326,32.0,113.44902951945822
30000000,-961.6775846338584,32.0,116.17179644215294
31000000,-949.158894229084,32.0,118.41988130563799
32000000,-936.6402038243097,32.0,120.57560036620578
33000000,-924.1215134195354,32.0,122.10617058086584
34000000,-911.602823014761,32.0,125.0
35000000,-848.6718627957888,32.0,125.0
36000000,-147.0844215135147,32.0,125.0
37000000,554.5030197687595,32.0,125.0
38000000,1256.0904610510333,32.0,127.17487392599433
39000000,1957.6779023333074,32.0,130.5197433518862
40000000,2659.2653436155815,32.0,133.0262308982654
41000000,3360.8527848978556,32.0,136.96123188405798
42000000,4062.4402261801297,32.0,139.3215107900204
43000000,4200.8692162517345,32.0,141.9412884109428
44000000,4199.457642191384,32.0,143.84883438789032
45000000,4198.046068131033,32.0,147.0
46000000,4196.634494070683,32.0,148.75570165627644
47000000,4195.222920010333,32.0,151.0
48000000,4193.811345949982,32.0,153.0
49000000,4192.399771889632,32.0,155.36907935716954
50000000,4190.9881978292815,32.0,158.0
51000000,4189.576623768931,32.0,160.19111956661936
52000000,4188.16504970858,32.0,162.88358543290607
53000000,4186.75347564823,32.0,165.0
54000000,4185.34190158788,32.0,167.6241565452092
55000000,4183.930327527529,32.0,169.50976320499288
56000000,4182.518753467179,32.0,171.0
57000000,4157.943384651803,32.0,171.69835533935603
58000000,4119.909210188252,32.0,172.40371410557688
