frames,reward,visited_rooms,learned_transitions
0,0.0,0.0,0.0
1000000,16.313958875772464,29.65159377316531,0.0
2000000,32.62791775154493,32.0,4.912563581897505
3000000,48.9418766273174,32.0,11.0
4000000,65.25583550308986,32.0,15.0
5000000,81.56979437886233,32.0,15.0
6000000,97.8837532546348,32.0,15.0
7000000,-61.97425218028076,32.0,15.0
8000000,-248.09165368356793,32.0,18.0
9000000,-434.20905518685515,32.0,20.0
10000000,-620.3264566901423,32.0,20.0
11000000,-806.4438581934295,32.0,23.178868975271264
12000000,-992.5612596967167,32.0,26.0
13000000,1501.2635781964905,32.0,26.0
14000000,4106.659625616255,32.0,26.0
15000000,6712.055673036018,32.0,26.0
16000000,9317.451720455781,32.0,26.0
17000000,11922.847767875546,32.0,26.0
18000000,12546.026208212661,32.0,26.0
19000000,12724.791490161417,32.0,26.0
20000000,12903.55677211017,32.0,26.0
21000000,13082.322054058926,32.0,26.0
22000000,13261.087336007682,32.0,26.0
23000000,13413.243971616435,32.0,27.0
24000000,13546.206824518671,32.0,27.0
25000000,13679.169677420905,32.0,27.0
26000000,13812.13253032314,32.0,27.0
27000000,13945.095383225374,32.0,27.0
28000000,12532.310430805745,32.0,27.0
29000000,10032.27709702796,32.0,29.045666852820226
30000000,7532.243763250177,32.0,30.957867858282796
31000000,5032.210429472394,32.0,31.0
32000000,2532.1770956946093,32.0,31.0
33000000,32.143761916826406,32.0,31.0
34000000,-1000.0,32.0,31.0
35000000,-1000.0,32.0,31.0
36000000,-1000.0,32.0,31.0
37000000,-1000.0,32.0,31.0
38000000,-1000.0,32.0,31.0
39000000,-1000.0,32.0,31.0
40000000,-1000.0,32.0,31.0
41000000,-1000.0,32.0,31.0
42000000,-1000.0,32.0,31.0
43000000,-1000.0,32.0,31.0
44000000,-1000.0,32.0,31.0
45000000,-1000.0,32.0,31.0
46000000,-1000.0,32.0,31.0
47000000,-1000.0,32.0,31.0
48000000,-1000.0,32.0,31.0
49000000,-1000.0,32.0,31.0
50000000,-1000.0,32.0,31.0
51000000,-1000.0,32.0,31.0
52000000,-1000.0,32.0,31.0
53000000,-1000.0,32.0,31.0
54000000,-1000.0,32.0,31.0
55000000,-1000.0,32.0,31.0
56000000,-1000.0,32.0,31.0
57000000,-1000.0,32.0,31.0
58000000,-1000.0,32.0,31.0
59000000,-1000.0,32.0,31.0
60000000,-1000.0,32.0,31.0
61000000,-1000.0,32.0,31.0
62000000,-1000.0,32.0,31.0
63000000,-1000.0,32.0,31.0
64000000,-1000.0,32.0,31.0
65000000,-1000.0,32.0,31.0
66000000,-1000.0,32.0,31.0
67000000,-1000.0,32.0,31.0
68000000,-1000.0,32.0,31.0
69000000,-1000.0,32.0,31.0
70000000,-1000.0,32.0,31.0
71000000,-1000.0,32.0,31.0
72000000,-1000.0,32.0,31.0
73000000,-1000.0,32.0,31.0
74000000,-1000.0,32.0,31.0
75000000,-1000.0,32.0,31.0
76000000,-1000.0,32.0,31.0
77000000,-1000.0,32.0,31.0
78000000,-1000.0,32.0,31.0
79000000,-1000.0,32.0,31.0
80000000,-1000.0,32.0,31.0
81000000,-1000.0,32.0,31.0
82000000,-1000.0,32.0,31.0
83000000,-1000.0,32.0,31.0
84000000,-1000.0,32.0,31.0
85000000,-1000.0,32.0,31.0
86000000,-1000.0,32.0,31.0
87000000,-1000.0,32.0,31.0
88000000,-1000.0,32.0,31.0
89000000,-1000.0,32.0,31.0
90000000,-1000.0,32.0,31.0
91000000,-1000.0,32.0,31.0
92000000,-1000.0,32.0,31.0
93000000,-1000.0,32.0,31.0
94000000,-1000.0,32.0,31.0
95000000,-1000.0,32.0,31.0
96000000,-1000.0,32.0,31.0
97000000,-1000.0,32.0,31.0
98000000,-114.65145844752817,32.0,31.0
99000000,2328.4981125897034,32.0,31.0
100000000,4771.647683626935,32.0,31.0
101000000,7214.797254664165,32.0,31.0
102000000,9657.946825701398,32.0,31.0
103000000,12101.096396738629,32.0,31.0
104000000,14112.464675334928,32.0,33.85317089089525
105000000,14175.657391485645,32.0,35.08575516975016
106000000,14238.850107636363,32.0,37.906881361081574
107000000,14302.04282378708,32.0,39.155763208607674
108000000,14365.235539937796,32.0,41.31402382974253
109000000,14428.428256088513,32.0,44.0
110000000,14491.62097223923,32.0,44.8302417850724
111000000,14554.813688389948,32.0,47.0
112000000,14618.006404540665,32.0,48.46818408934383
113000000,14681.199120691383,32.0,50.03424951968207
114000000,14744.3918368421,32.0,52.04312865497076
115000000,14807.584552992817,32.0,54.1534922022905
116000000,14870.777269143535,32.0,56.25431316881415
