frames,reward,visited_rooms,learned_transitions
0,0.0,0.0,0.0
1000000,-64.00626508382938,27.79836916234248,0.0
2000000,-128.01253016765875,30.85322461082283,0.8532246108228317
3000000,-192.01879525148814,31.0,1.9723544472275882
4000000,-256.0250603353175,31.0,6.0
5000000,-320.0313254191469,31.0,13.443970691724966
6000000,-384.0375905029763,32.0,21.497947699437272
7000000,1123.7109792187402,32.0,24.488660233188224
8000000,3572.0041700470015,32.0,28.318842746607856
9000000,6020.297360875263,32.0,34.82522431441931
10000000,8468.590551703524,32.0,38.66502943592552
11000000,10916.883742531785,32.0,40.0
12000000,13365.176933360048,32.0,43.4531182330013
13000000,14380.232690667317,32.0,49.209713472871364
14000000,14156.98780483161,32.0,52.886210653572334
15000000,13933.742918995902,32.0,56.31216240637738
16000000,13710.498033160195,32.0,60.03083175291249
17000000,13487.253147324489,32.0,61.0
18000000,13264.008261488781,32.0,61.0
19000000,13051.347903576429,32.0,61.0
20000000,12873.338362815488,32.0,61.0
21000000,12695.328822054547,32.0,64.70349912967201
22000000,12517.319281293605,32.0,67.5850932907077
23000000,12339.309740532664,32.0,70.56904727225648
24000000,12161.300199771724,32.0,73.81759963836359
25000000,11983.290659010781,32.0,75.9194763867795
26000000,11805.28111824984,32.0,78.73440421382763
27000000,11627.2715774889,32.0,81.5684513943936
28000000,11449.262036727958,32.0,83.86798640111361
29000000,11281.022349568808,32.0,86.34798655265658
30000000,11264.829649966461,32.0,90.21048916131475
31000000,11248.636950364113,32.0,93.9334285145096
32000000,11232.444250761766,32.0,96.72876833470558
33000000,11216.251551159417,32.0,100.46321206638291
34000000,11200.058851557069,32.0,103.00650823208393
35000000,11183.866151954722,32.0,105.0
36000000,11167.673452352374,32.0,105.0
37000000,11151.480752750027,32.0,105.0
38000000,11135.288053147679,32.0,105.0
39000000,11183.647279786157,32.0,106.0
40000000,11527.315915008348,32.0,108.82307510906733
41000000,11870.984550230538,32.0,112.0
42000000,12214.65318545273,32.0,114.0
43000000,12558.32182067492,32.0,116.0
44000000,12901.99045589711,32.0,119.0
45000000,13245.659091119302,32.0,121.00232889367926
46000000,13513.396680362765,32.0,124.0
47000000,13564.937439826163,32.0,126.0
48000000,13616.478199289562,32.0,128.17412123651928
49000000,13668.01895875296,32.0,130.08775407357635
50000000,13719.55971821636,32.0,132.05795465236616
51000000,13771.100477679758,32.0,134.21057019610686
52000000,13822.641237143158,32.0,136.50641255605382
53000000,13874.181996606556,32.0,138.0
54000000,13925.722756069956,32.0,140.30960871012218
55000000,13977.263515533354,32.0,143.0
56000000,14662.592095008165,32.0,144.0
57000000,15848.197349610653,32.0,145.41997781941947
58000000,17033.802604213142,32.0,146.8762129128569
59000000,18219.40785881563,32.0,149.0
60000000,19405.013113418117,32.0,151.0
