frames,reward,visited_rooms,learned_transitions
0,0.0,0.0,0.0
1000000,15.350523053722533,25.018532246108226,0.0
2000000,30.701046107445066,30.412898443291326,0.0
3000000,46.0515691611676,31.0,0.0
4000000,61.40209221489013,31.0,8.469270054566286
5000000,76.75261526861267,31.0,14.0
6000000,92.1031383223352,31.0,15.0
7000000,35.41998259876219,31.0,21.365095974063845
8000000,-97.5800285248751,32.0,25.80107629929967
9000000,-230.58003964851235,32.0,31.038084694159977
10000000,-363.58005077214966,32.0,34.215802124157854
11000000,-496.5800618957869,32.0,37.85800727064001
12000000,-629.5800730194243,32.0,41.01020112863551
13000000,-762.5800841430615,32.0,44.78519848771266
14000000,-895.5800952666988,32.0,47.0
15000000,-1000.0,32.0,47.34012467966776
16000000,-1000.0,32.0,49.0
17000000,-1000.0,32.0,49.0
18000000,-1000.0,32.0,49.0
19000000,-1000.0,32.0,52.943213554272944
20000000,-1000.0,32.0,56.8861012045789
21000000,-1000.0,32.0,62.28047150123908
22000000,-1000.0,32.0,64.0
23000000,645.3281231589285,32.0,64.0
24000000,3066.951071679058,32.0,65.9227639535145
25000000,5488.574020199187,32.0,70.0
26000000,7910.196968719316,32.0,70.0
27000000,10331.819917239445,32.0,71.78048213916993
28000000,12753.442865759574,32.0,75.17656602708804
29000000,12764.291768952868,32.0,79.21988687940787
30000000,12716.446347939078,32.0,83.0
31000000,12668.60092692529,32.0,85.9697222444386
32000000,12620.7555059115,32.0,88.02247679394179
33000000,12572.910084897712,32.0,90.98639545200618
34000000,12525.064663883924,32.0,94.19321688005637
35000000,12477.219242870135,32.0,96.33985501766365
36000000,12429.373821856347,32.0,99.23801611489166
37000000,12381.528400842559,32.0,100.79156933874422
38000000,12333.682979828769,32.0,103.0
39000000,12271.246619126376,32.0,105.72759886238921
40000000,12207.943449725424,32.0,110.0
41000000,12144.640280324473,32.0,111.81752229137656
42000000,12081.337110923521,32.0,114.31898759272414
43000000,12018.03394152257,32.0,115.0
44000000,11954.730772121618,32.0,115.0
45000000,11891.427602720667,32.0,115.0
46000000,11828.124433319716,32.0,116.0
47000000,11764.821263918764,32.0,116.95857034774568
48000000,11701.518094517813,32.0,117.82580364343963
49000000,11638.21492511686,32.0,120.01302237348658
50000000,11574.911755715908,32.0,122.0
51000000,13851.763356897445,32.0,122.0
52000000,16201.488410411,32.0,124.0
53000000,18551.213463924556,32.0,125.39354525010636
54000000,20900.93851743811,32.0,127.0
55000000,23250.663570951667,32.0,130.0
56000000,25600.388624465224,32.0,133.92109598181705
57000000,27950.113677978778,32.0,137.92012385114347
58000000,30299.83873149233,32.0,141.4713423032101
59000000,31201.58945835405,32.0,143.0
60000000,31115.09098329895,32.0,143.0
61000000,31028.592508243848,32.0,145.2023306347358
62000000,30942.094033188743,32.0,147.0
63000000,30855.595558133642,32.0,148.1848761993592
64000000,30769.09708307854,32.0,150.41552262477077
65000000,30682.59860802344,32.0,151.0
66000000,30596.10013296834,32.0,151.34575863576737
67000000,30509.601657913234,32.0,153.19858602685736
68000000,30423.103182858133,32.0,154.03165641844825
69000000,30336.60470780303,32.0,156.0142075211656
70000000,30250.10623274793,32.0,158.09641195657986
71000000,30163.60775769283,32.0,160.0
72000000,30077.109282637724,32.0,161.51065795352147
73000000,29990.610807582623,32.0,163.427238761382
74000000,29904.112332527522,32.0,164.6191426420907
75000000,29817.61385747242,32.0,165.6864354950864
76000000,29847.43422790957,32.0,167.0
77000000,29906.997429732804,32.0,168.9639284944271
78000000,29966.560631556044,32.0,170.4007730752672
79000000,30026.12383337928,32.0,171.0
80000000,30085.687035202518,32.0,171.0
81000000,30145.250237025753,32.0,171.67324372096846
82000000,30204.813438848993,32.0,172.0
83000000,30264.376640672228,32.0,172.87410292166933
84000000,30323.939842495467,32.0,175.0
85000000,30383.503044318702,32.0,176.15822668975517
86000000,30443.06624614194,32.0,177.0
87000000,30502.629447965177,32.0,178.629694929743
88000000,30562.192649788416,32.0,180.49340699639657
89000000,30621.75585161165,32.0,182.0
90000000,30681.31905343489,32.0,183.70990568022145
91000000,30740.882255258126,32.0,184.0
92000000,30800.445457081365,32.0,184.74595608586014
93000000,30860.0086589046,32.0,185.0
94000000,30919.57186072784,32.0,185.38815410180757
95000000,30965.96638517181,32.0,186.59289268177488
96000000,30970.03859884753,32.0,188.0
97000000,30974.110812523242,32.0,189.02264472289323
98000000,30978.183026198956,32.0,190.4503005290419
99000000,30982.255239874674,32.0,191.13120274146087
100000000,30986.327453550388,32.0,192.0
101000000,30990.399667226102,32.0,193.4885714789747
102000000,30994.471880901816,32.0,194.17229170564616
103000000,30998.544094577534,32.0,196.0
104000000,31002.616308253248,32.0,196.83025319860144
105000000,31006.68852192896,32.0,198.0
106000000,31010.76073560468,32.0,198.0
107000000,31014.832949280393,32.0,198.46282085008832
108000000,31018.905162956107,32.0,200.36810591722914
109000000,31022.977376631825,32.0,201.0
110000000,31027.04959030754,32.0,201.0
111000000,31031.121803983253,32.0,201.0
112000000,31035.19401765897,32.0,201.0
113000000,31039.266231334685,32.0,201.0
114000000,31043.3384450104,32.0,201.0
115000000,31047.410658686116,32.0,201.0
116000000,31051.48287236183,32.0,201.0
117000000,31127.139686278486,32.0,201.0
118000000,31245.301125830836,32.0,201.0
119000000,31363.46256538319,32.0,201.0
120000000,31481.62400493554,32.0,201.0
121000000,31599.785444487894,32.0,201.0
122000000,31717.946884040244,32.0,201.0
123000000,31836.108323592594,32.0,201.0
124000000,31954.26976314495,32.0,201.0
125000000,32072.4312026973,32.0,201.0
126000000,32190.592642249652,32.0,201.0
127000000,32308.754081802002,32.0,201.0
128000000,32426.915521354353,32.0,201.0
129000000,32545.076960906707,32.0,201.0
130000000,32663.238400459057,32.0,201.0
131000000,32781.39984001141,32.0,201.0
132000000,32899.56127956376,32.0,201.0
133000000,33017.722719116115,32.0,201.0
134000000,33135.884158668465,32.0,201.0
135000000,33254.045598220815,32.0,201.0
136000000,33267.34243506982,32.0,201.0
137000000,33213.90076229899,32.0,201.0
138000000,33160.459089528165,32.0,201.0
139000000,33107.017416757335,32.0,201.0
140000000,33053.575743986505,32.0,201.0
141000000,33000.134071215674,32.0,201.0
142000000,32946.692398444844,32.0,201.0
143000000,32893.25072567402,32.0,201.0
144000000,32839.80905290319,32.0,201.0
145000000,32786.36738013236,32.0,201.0
146000000,32732.925707361534,32.0,202.23205459045872
147000000,32679.484034590703,32.0,204.0
148000000,32626.042361819877,32.0,204.9512492287506
149000000,32572.600689049046,32.0,206.0
150000000,32519.159016278216,32.0,207.0
151000000,32465.71734350739,32.0,208.0
152000000,32412.27567073656,32.0,208.0
153000000,32358.833997965732,32.0,208.0
154000000,32305.3923251949,32.0,208.0
155000000,32251.950652424075,32.0,208.0
156000000,32198.508979653245,32.0,208.0
157000000,32200.61190098857,32.0,208.0
158000000,32205.45098740628,32.0,208.0
159000000,32210.290073823984,32.0,208.0
160000000,32215.129160241693,32.0,208.0
161000000,32219.968246659402,32.0,208.0
162000000,32224.80733307711,32.0,209.0
163000000,32229.646419494817,32.0,209.0
164000000,32234.485505912526,32.0,209.0
165000000,32239.324592330235,32.0,209.0
166000000,32244.163678747944,32.0,209.0
167000000,32249.00276516565,32.0,209.0
168000000,32253.84185158336,32.0,210.26156590431293
169000000,32258.680938001067,32.0,211.0
170000000,32263.520024418776,32.0,212.92394370984738
171000000,32268.35911083648,32.0,213.0
172000000,32273.19819725419,32.0,213.0
173000000,32278.0372836719,32.0,213.0
