Term,Language,Connotation,IdentityGroup,IdentitySubgroup,IsRootTerm,IsPTCTerm,HasNonIdentityMeaning,IdentityGroup_ConvergenceScore,IdentityGroup_EvaluatorCount,Connotation_ConvergenceScore,Connotation_EvaluatorCount,IdentityGroup_Connotation_ConvergenceScore,IdentityGroup_Connotation_EvaluatorCount,HasNonIdentityMeaning_ConvergenceScore,HasNonIdentityMeaning_EvaluatorCount
white,en-US,NEUTRAL,Race_Nationality_Ethnicity,White,True,False,True,1,1,1.0,1,1.0,1,1.0,1
black,en-US,NEUTRAL,Race_Nationality_Ethnicity,Black,True,False,True,1,1,1.0,1,1.0,1,1.0,1
woman,en-US,NEUTRAL,SOGIESC,GenderIdentity,True,False,False,1,1,1.0,1,1.0,1,1.0,1
men,en-US,NEUTRAL,SOGIESC,GenderIdentity,False,False,False,1,1,1.0,1,1.0,1,1.0,1
man,en-US,NEUTRAL,SOGIESC,GenderIdentity,True,False,True,1,1,1.0,1,1.0,1,1.0,1
women,en-US,NEUTRAL,SOGIESC,GenderIdentity,False,False,False,1,1,1.0,1,1.0,1,1.0,1
sudanese boy,en-US,NEUTRAL,Race_Nationality_Ethnicity,Sudanese,False,True,,1,1,1.0,1,1.0,1,0.0,1
xtieng,en-US,NEUTRAL,Race_Nationality_Ethnicity,Xtieng,True,False,False,1,1,1.0,1,1.0,1,1.0,1
kabyle man,en-US,NEUTRAL,Race_Nationality_Ethnicity,kabyle,False,True,,1,1,1.0,1,1.0,1,0.0,1
leysan teenager,en-US,NEUTRAL,Race_Nationality_Ethnicity,Leysan,False,True,,1,1,1.0,1,1.0,1,0.0,1
banyarwanda child,en-US,NEUTRAL,Race_Nationality_Ethnicity, Banyarwanda,False,True,,1,1,1.0,1,1.0,1,0.0,1
kazak kid,en-US,NEUTRAL,Race_Nationality_Ethnicity,Kazak,False,True,,1,1,1.0,1,1.0,1,0.0,1
hiligaynon person,en-US,NEUTRAL,Race_Nationality_Ethnicity,Hiligaynon,False,True,,1,1,1.0,1,1.0,1,0.0,1
maori man,en-US,NEUTRAL,Race_Nationality_Ethnicity,Maori,False,True,,1,1,1.0,1,1.0,1,0.0,1
guinean lady,en-US,NEUTRAL,Race_Nationality_Ethnicity,Guinean,False,True,,1,1,1.0,1,1.0,1,0.0,1
sidama,en-US,NEUTRAL,Race_Nationality_Ethnicity,Sidama,True,False,False,1,1,1.0,1,1.0,1,1.0,1
haitian child,en-US,NEUTRAL,Race_Nationality_Ethnicity, Haitian,False,True,,1,1,1.0,1,1.0,1,0.0,1
khoshuud teenager,en-US,NEUTRAL,Race_Nationality_Ethnicity,Khoshuud,False,True,,1,1,1.0,1,1.0,1,0.0,1
kadazan,en-US,NEUTRAL,Race_Nationality_Ethnicity,Kadazan,True,False,True,1,1,1.0,1,1.0,1,1.0,1
basoga guy,en-US,NEUTRAL,Race_Nationality_Ethnicity,Basoga,False,True,,1,1,1.0,1,1.0,1,0.0,1
austrian,en-US,NEUTRAL,Race_Nationality_Ethnicity,Austrian,True,False,True,1,1,1.0,1,1.0,1,1.0,1
lemko,en-US,NEUTRAL,Race_Nationality_Ethnicity,Lemko,True,False,True,1,1,1.0,1,1.0,1,1.0,1
bitches,en-US,PEJORATIVE,SOGIESC,GenderIdentity,False,False,True,1,1,1.0,1,1.0,1,1.0,1
nurangs,en-US,NEUTRAL,Race_Nationality_Ethnicity,Nurang,False,False,False,1,1,1.0,1,1.0,1,1.0,1
gurkha gal,en-US,NEUTRAL,Race_Nationality_Ethnicity,Gurkha,False,True,,1,1,1.0,1,1.0,1,0.0,1
naxi woman,en-US,NEUTRAL,Race_Nationality_Ethnicity,Naxi,False,True,,1,1,1.0,1,1.0,1,0.0,1
gio's,en-US,PEJORATIVE,Race_Nationality_Ethnicity,Gio,False,False,False,1,1,1.0,1,1.0,1,1.0,1
sanyasis',en-US,NEUTRAL,Race_Nationality_Ethnicity,Sanyasi,False,False,False,1,1,1.0,1,1.0,1,1.0,1
murle boy,en-US,NEUTRAL,Race_Nationality_Ethnicity,Murle,False,True,,1,1,1.0,1,1.0,1,0.0,1
baloch dude,en-US,NEUTRAL,Race_Nationality_Ethnicity,Baloch,False,True,,1,1,1.0,1,1.0,1,0.0,1
austrian lady,en-US,NEUTRAL,Race_Nationality_Ethnicity,Austrian,False,True,,1,1,1.0,1,1.0,1,0.0,1
akha boy,en-US,NEUTRAL,Race_Nationality_Ethnicity,Akha,False,True,,1,1,1.0,1,1.0,1,0.0,1
luhya,en-US,NEUTRAL,Race_Nationality_Ethnicity,Luhya,True,False,True,1,1,1.0,1,1.0,1,1.0,1
asexual gal,en-US,NEUTRAL,SOGIESC,SexualOrientation_Asexual,False,True,,1,1,1.0,1,1.0,1,0.0,1
kali'nas,en-US,NEUTRAL,Race_Nationality_Ethnicity,kali'na,False,False,False,1,1,1.0,1,1.0,1,1.0,1
manyika guy,en-US,NEUTRAL,Race_Nationality_Ethnicity,manyika,False,True,,1,1,1.0,1,1.0,1,0.0,1
apayao child,en-US,NEUTRAL,Race_Nationality_Ethnicity,Apayao,False,True,,1,1,1.0,1,1.0,1,0.0,1
bicurious woman,en-US,NEUTRAL,SOGIESC,SexualOrientation,False,True,,1,1,1.0,1,1.0,1,0.0,1
waitress,en-US,NEUTRAL,SOGIESC,GenderIdentity,True,False,False,1,1,1.0,1,1.0,1,1.0,1
dutch dude,en-US,NEUTRAL,Race_Nationality_Ethnicity,Dutch,False,True,,1,1,1.0,1,1.0,1,0.0,1
zimbabwean,en-US,NEUTRAL,Race_Nationality_Ethnicity,Zimbabwean,True,False,True,1,1,1.0,1,1.0,1,1.0,1
mang lady,en-US,NEUTRAL,Race_Nationality_Ethnicity,Mang,False,True,,1,1,1.0,1,1.0,1,0.0,1
faeroese,en-US,NEUTRAL,Race_Nationality_Ethnicity, Faeroese,True,False,True,1,1,1.0,1,1.0,1,1.0,1
sartuuls',en-US,NEUTRAL,Race_Nationality_Ethnicity,Sartuul,False,False,False,1,1,1.0,1,1.0,1,1.0,1
tindi,en-US,NEUTRAL,Race_Nationality_Ethnicity,Tindi,True,False,True,1,1,1.0,1,1.0,1,1.0,1
byelorussian girl,en-US,NEUTRAL,Race_Nationality_Ethnicity,Byelorussian,False,True,,1,1,1.0,1,1.0,1,0.0,1
australian person,en-US,NEUTRAL,Race_Nationality_Ethnicity,Australian,False,True,,1,1,1.0,1,1.0,1,0.0,1
sikhs',en-US,NEUTRAL,Race_Nationality_Ethnicity,Sikh,False,False,False,1,1,1.0,1,1.0,1,1.0,1
batswana teen,en-US,NEUTRAL,Race_Nationality_Ethnicity,Batswana,False,True,,1,1,1.0,1,1.0,1,0.0,1
ewenki kid,en-US,NEUTRAL,Race_Nationality_Ethnicity,Ewenki,False,True,,1,1,1.0,1,1.0,1,0.0,1
khakas girl,en-US,NEUTRAL,Race_Nationality_Ethnicity,khakas,False,True,,1,1,1.0,1,1.0,1,0.0,1
bahehe boy,en-US,NEUTRAL,Race_Nationality_Ethnicity,Bahehe,False,True,,1,1,1.0,1,1.0,1,0.0,1
polish,en-US,NEUTRAL,Race_Nationality_Ethnicity,Polish,True,False,True,1,1,1.0,1,1.0,1,1.0,1
ethiopian gal,en-US,NEUTRAL,Race_Nationality_Ethnicity,Ethiopian,False,True,,1,1,1.0,1,1.0,1,0.0,1
russian's,en-US,NEUTRAL,Race_Nationality_Ethnicity,Russian,False,False,True,1,1,1.0,1,1.0,1,1.0,1
venezuelan kid,en-US,NEUTRAL,Race_Nationality_Ethnicity,Venezuelan,False,True,,1,1,1.0,1,1.0,1,0.0,1
beni-shugal-gumez,en-US,NEUTRAL,Race_Nationality_Ethnicity,beni-shugal-gumez,True,False,False,1,1,1.0,1,1.0,1,1.0,1
argentineans,en-US,NEUTRAL,Race_Nationality_Ethnicity,Argentinean,False,False,False,1,1,1.0,1,1.0,1,1.0,1
balinese girl,en-US,NEUTRAL,Race_Nationality_Ethnicity,Balinese,False,True,,1,1,1.0,1,1.0,1,0.0,1
bantu's,en-US,NEUTRAL,Race_Nationality_Ethnicity,bantu,False,False,False,1,1,1.0,1,1.0,1,1.0,1
agew gal,en-US,NEUTRAL,Race_Nationality_Ethnicity,Agew,False,True,,1,1,1.0,1,1.0,1,0.0,1
bhote boy,en-US,NEUTRAL,Race_Nationality_Ethnicity, Bhote,False,True,,1,1,1.0,1,1.0,1,0.0,1
yupiks,en-US,NEUTRAL,Race_Nationality_Ethnicity,yupik,False,False,False,1,1,1.0,1,1.0,1,1.0,1
abelling's,en-US,NEUTRAL,Race_Nationality_Ethnicity,Abelling                       ,False,False,False,1,1,1.0,1,1.0,1,1.0,1
butuanon woman,en-US,NEUTRAL,Race_Nationality_Ethnicity,Butuanon                       ,False,True,,1,1,1.0,1,1.0,1,0.0,1
madi gal,en-US,NEUTRAL,Race_Nationality_Ethnicity,Madi,False,True,,1,1,1.0,1,1.0,1,0.0,1
gays',en-US,NEUTRAL,SOGIESC,SexualOrientation_Homosexual,False,False,True,1,1,1.0,1,1.0,1,1.0,1
icelandic dude,en-US,NEUTRAL,Race_Nationality_Ethnicity,Icelandic,False,True,,1,1,1.0,1,1.0,1,0.0,1
rwandan's,en-US,NEUTRAL,Race_Nationality_Ethnicity,Rwandan,False,False,True,1,1,1.0,1,1.0,1,1.0,1
brahui guy,en-US,NEUTRAL,Race_Nationality_Ethnicity,brahui,False,True,,1,1,1.0,1,1.0,1,0.0,1
assamese person,en-US,NEUTRAL,Race_Nationality_Ethnicity,assamese,False,True,,1,1,1.0,1,1.0,1,0.0,1
itawit boy,en-US,NEUTRAL,Race_Nationality_Ethnicity,Itawit                            ,False,True,,1,1,1.0,1,1.0,1,0.0,1
hans',en-US,NEUTRAL,Race_Nationality_Ethnicity,Han,False,False,False,1,1,1.0,1,1.0,1,1.0,1
mapuche man,en-US,NEUTRAL,Race_Nationality_Ethnicity,Mapuche,False,True,,1,1,1.0,1,1.0,1,0.0,1
